တက်ရောက်သူ	attendance	attendees	attend	attending	attended	participants	participant	meetings	participation	volunteering
တက်ရောက်သော	attendance	attend	attending	attendees	attended	enrolled	seminars	graduating	trainings	welcoming
တက်၍	asleep	downstairs	bogey	vomit	bathtub	startled	swinging	screams	uphill	stabs
တက်လာ	leave	cheered	stunned	swelled	lowered	leaving	waited	steadily	emptied	startled
တက်လာပြီး	lh	suddenly	rapidly	rapid	abruptly	overwhelmed	daryl	englewood	slowly	steadily
တက်လာ၍	sedans	slowly	fibreglass	slumped	buoyant	startled	fiberglass	hurried	quoins	dipped
တက်လာသော	abrupt	rapid	sluggish	steep	steeply	inexpensive	volumetric	sohc	porous	unregulated
တက်လာသောအခါ	józsef	zaporizhia	metalurh	yaakov	larvik	steeply	spvgg	abrupt	dwindled	esgrima
တက်လှမ်း	move	hold	deliver	immediately	go	when	get	delivering	exiting	lowered
တက်သော	inconspicuous	graceful	smooth	stiff	vigorous	skillful	exceptionally	dull	robust	exceedingly
တောက်	bright	brightly	shines	shone	lighter	lit	glittering	dark	hanging	lights
တောက်ပ	bright	brighter	sunlight	brightly	shone	glow	brightest	shining	faint	shines
တောက်ပမှု	brightness	luminosity	emitting	luminous	sunlight	ultraviolet	stellar	redshift	emitted	illumination
တောက်ပသော	bright	dark	bluish	brightly	faint	translucent	luminous	iridescent	emitting	glowing
တောက်ပသည့်	ultraviolet	bluish	emitting	spectral	emits	brightness	supernovae	emit	milky	diffuse
တောက်လျှောက်	stretches	uninterrupted	uphill	hillsides	hike	hikers	vistas	extend	venturing	along
တိုက်	farther	north	rampage	blown	chopping	off	east	relocated	moving	knocking
တိုက်ကို	redoubt	ojos	nightfall	anzio	bayonets	bridgehead	rearguard	besiege	gyro	beachhead
တိုက်ကြီး	southwards	northwards	southward	southernmost	dispatched	northward	ravaged	besieging	northernmost	northerly
တိုက်ကွက်	retaliate	retaliatory	harass	retaliated	attack	retaliation	debacle	rampage	momentarily	repulse
တိုက်ကွမ်ဒို	karate	championships	judo	volleyball	championship	boxing	archery	badminton	team	tournament
တိုက်ခိုက်	attack	attacks	repulse	attacked	retaliate	militarily	counterattack	repulsed	raids	enemy
တိုက်ခိုက်ကြ	attack	attacks	ambushes	skirmishes	repulsed	raids	counterattack	counterattacks	repulse	militarily
တိုက်ခိုက်ကြရာ	attack	ambushes	skirmishes	attacks	raids	repulsed	skirmish	repulse	besieging	counterattacks
တိုက်ခိုက်ခဲ့	attack	attacks	skirmishes	raids	counterattacks	attacked	counterattack	invasion	ambushes	retaliatory
တိုက်ခိုက်ခဲ့ရာ	attack	counterattacks	attacks	counterattack	skirmishes	raids	retaliatory	militarily	enemy	invasion
တိုက်ခိုက်ခဲ့သော	attacks	attack	skirmishes	raids	militarily	counterattacks	invasion	incursions	enemy	skirmish
တိုက်ခိုက်ခဲ့သည်	attack	attacks	raids	invasion	skirmishes	attacked	counterattacks	incursions	incursion	retaliatory
တိုက်ခိုက်ခြင်း	attack	attacks	counterattacks	inflicting	skirmishes	counterattack	invasion	incursions	incursion	hostilities
တိုက်ခိုက်နေသော	skirmishes	attacks	militarily	attack	enemy	incursions	skirmish	raids	ambushes	hostilities
တိုက်ခိုက်ပြီး	attack	ambushes	counterattack	attacks	counterattacks	skirmishes	repulsed	skirmish	ambush	enemy
တိုက်ခိုက်မှု	attacks	attack	raids	retaliatory	incursion	assaults	attackers	attacked	airstrikes	incursions
တိုက်ခိုက်မှုကြောင့်	attack	attacks	raids	counterattacks	skirmishes	incursions	incursion	retaliatory	enemy	assaults
တိုက်ခိုက်မှုများ	attacks	raids	attack	assaults	incursions	incidents	skirmishes	confrontations	retaliatory	counterattacks
တိုက်ခိုက်ရာ	attack	skirmishes	ambushes	skirmish	enemy	attacks	counterattacks	counterattack	repulse	repulsed
တိုက်ခိုက်ရာ၌	attack	enemy	counterattacks	ambushes	attacks	counterattack	skirmish	repulse	repulsed	besieging
တိုက်ခိုက်ရေး	attack	counterattack	attacks	counterattacks	retaliatory	diversionary	skirmishes	ambushes	raids	hostilities
တိုက်ခိုက်ရေးသမား	attack	attacks	retaliatory	insurgents	snipers	skirmishes	ambushes	civilians	troops	raids
တိုက်ခိုက်ရန်	attack	counterattack	attacks	ambushes	enemy	counterattacks	repulse	skirmish	repulsed	retaliate
တိုက်ခိုက်သူ	attack	attacks	attackers	retaliatory	enemy	snipers	skirmishes	raids	counterattack	troops
တိုက်ခိုက်သူများ	attacks	attack	raids	skirmishes	civilians	incursions	retaliatory	attackers	strongholds	garrisons
တိုက်ခိုက်သော	attack	attacks	militarily	enemy	raids	ambushes	retaliatory	counterattacks	incursions	skirmishes
တိုက်ခတ်	thunderstorms	torrential	gusts	northerly	coastlines	devastating	typhoons	winds	northward	coasts
တိုက်ခတ်ခြင်း	severe	severity	intensification	prolonged	torrential	devastation	starvation	destruction	catastrophic	thunderstorms
တိုက်ခတ်မှု	outages	attacks	intensification	fatalities	thunderstorms	gusts	devastating	torrential	attack	damage
တိုက်ခတ်သော	thunderstorms	torrential	dense	humid	rainfall	sparsely	gusts	coastlines	winds	subtropical
တိုက်ခန်း	attack	apartment	bedroom	kitchen	upstairs	room	barracks	kitchens	attacks	bedrooms
တိုက်ဂါး	attack	shipment	raids	snipers	raided	shipped	troops	raid	garrisons	shipments
တိုက်စား	inflict	hardest	ravaged	attacking	affected	devastating	attack	destructive	crippling	sketching
တိုက်စစ်	beating	thrashing	clinching	hitting	missed	team	play	player	scoring	only
တိုက်စစ်မှူး	player	captaining	team	playing	beating	season	played	clinching	match	gunners
တိုက်ဆိုင်	coincidence	knowing	happened	alerted	incident	immediately	attack	overheard	assaults	summoned
တိုက်တာ	museums	ravaged	blockaded	mainland	vicinity	northernmost	southernmost	galleries	mulberry	nurseries
တိုက်တွန်း	persuade	persuaded	persuading	urged	urging	unwilling	advised	convince	repay	promised
တိုက်တွန်းခဲ့	persuaded	urging	persuade	urged	promised	persuading	convinced	encouraged	hoped	repay
တိုက်တွန်းခဲ့သည်	urged	advised	requested	agreed	promised	encouraged	persuaded	urging	efforts	refused
တိုက်တွန်းခြင်း	condemnation	apprehension	indignation	execution	refusal	sufferings	inaction	remission	humiliation	rejection
တိုက်ထုတ်	retreating	capture	reinforcements	capturing	retaliatory	delaying	counterattack	encirclement	dispatched	anticipating
တိုက်နယ်	northernmost	southernmost	easternmost	district	westernmost	districts	annexed	redoubt	north	deanery
တိုက်၌	ticonderoga	besiege	skirmish	debacle	seaboard	siege	yorktown	gauliga	onslaught	woodcuts
တိုက်နှင့်	palearctic	scopoli	noctuidae	nightjar	mpumalanga	ecozone	schiffermüller	skink	vireo	erebidae
တိုက်ပွဲ	skirmishes	battles	battle	skirmish	militarily	guerilla	war	incursion	retaliatory	enemy
တိုက်ပွဲ၊	skirmishes	skirmish	battles	insurgency	guerrilla	battle	guerilla	insurgents	militarily	uprisings
တိုက်ပွဲတွင်	skirmishes	skirmish	counterattacks	enemy	airstrikes	firefight	counterattack	militarily	insurgency	snipers
တိုက်ပွဲများ	skirmishes	battles	uprisings	confrontations	militias	skirmish	insurgents	clashes	militarily	hostilities
တိုက်ပွဲမှာ	skirmishes	skirmish	battles	battle	militarily	stalemate	bloodshed	indecisive	uprisings	insurgency
တိုက်ပွဲဝင်	skirmishes	battles	fought	militarily	skirmish	battle	guerilla	insurgents	enemy	guerrilla
တိုက်ပွဲသည်	skirmishes	skirmish	insurgency	militarily	battles	insurgents	guerrilla	battle	casualties	guerrillas
တိုက်ဖျက်	retaliatory	suppressing	suppress	eradicate	eradication	combating	debilitating	punish	aggression	effectively
တိုက်ဖျက်ရေး	eradication	combating	prevention	mobilization	preventive	preparedness	retaliatory	suppression	mobilisation	cooperation
တိုက်ဖျက်ရန်	retaliatory	ineffective	aggression	inflict	hostilities	neutralize	retaliate	punish	withdraw	unlawful
တိုက်မိ	attack	farther	attacked	blown	sighting	traversing	ramming	attacks	repulse	raid
တိုက်မှ	enemy	carthaginians	attacks	gunfire	counterattacks	flak	skirmish	salvo	blitzkrieg	attack
တိုက်ရိုက်	direct	directly	simultaneously	indirectly	any	effectively	composing	solely	this	simultaneous
တိုက်ရိုက်ဖြစ်စေ၊	solvent	carbonyl	ammonium	aryl	debtor	sulfide	depositing	insoluble	solvents	acceptor
တိုက်ရန်	enemy	besiege	reinforcements	swiftly	repulse	counterattack	skirmish	encirclement	sortie	pva
တိုက်၍	carthaginians	moths	enemy	besiege	repulse	armée	flightless	besieging	inflict	gauls
တိုက်လေယာဉ်	aircraft	airplanes	airliner	planes	flown	airliners	airplane	pilots	seaplanes	helicopters
တိုက်လေယာဉ်များ	aircraft	airplanes	airliners	flights	pilots	aircrews	planes	helicopters	seaplanes	airfields
တက်စ်မေးနီးယား	romania	bulgaria	serbia	belarus	croatia	russia	hungary	ukraine	estonia	poland
တက်ဒ်	initially	attending	attended	first	went	only	met	ironically	he	going
တင်	go	hang	back	one	give	hold	get	ten	looped	paused
တင်ကာ	sneaks	chases	downstairs	screams	jumps	drags	yells	overhears	auntie	grabs
တင်ခဲ့သည်	including	occurred	following	reported	initial	included	prompted	suffered	several	experienced
တင်စား	virtuous	despised	seduced	ignorant	know	charming	fits	genuine	knowledgeable	something
တင်ဆက်	show	entertainer	television	featured	presenter	animated	montage	performer	taped	entertainers
တင်ဆက်မှု	marketing	innovations	involvement	production	presentation	media	sophistication	innovation	creativity	popularity
တင်ဆက်သူ	entertainer	television	entertainers	presenter	performer	audience	presenters	actor	comedian	comedic
တင်ဆောင်	transported	transporting	transport	transports	freighters	tons	cargo	ferried	barges	cargoes
တင်ဆောင်လာသော	transports	freighters	cargo	trucks	transporting	outfitted	trolleys	vehicles	passengers	transported
တင်ထား	blindfolded	authentic	misidentified	delivered	puzzled	reveal	circulated	posing	labeled	dressed
တင်ထားသော	uncommon	unusual	identifiable	distinguishable	affixed	large	distinctive	unusually	inconspicuous	noteworthy
တင်ပို့	export	shipment	exports	foodstuffs	importation	importers	exporters	exported	cargoes	exporting
တင်ပို့မှု	shipments	shipment	importation	exports	suppliers	products	foodstuffs	cargoes	commodities	importers
တင်ပို့ရန်	foodstuffs	shipment	cargoes	export	shipments	exports	importation	importers	supplies	smuggled
တင်ပို့သော	foodstuffs	shipment	importation	exports	shipments	cargoes	export	exported	supplies	smuggled
တင်ပြ	submitted	presented	forwarded	confirm	tabled	report	introduce	inquire	inform	circulated
တင်ပြခဲ့	recommendations	submitted	reports	findings	report	forwarded	statement	statements	responding	proposals
တင်ပြခဲ့သော	findings	proposals	submitted	examined	inquiry	substantiated	corroborated	circulated	conclusions	summarized
တင်ပြခဲ့သည်	reports	findings	recommendations	responding	reported	prompted	submitted	report	proposals	suggestions
တင်ပြချက်	recommendations	statements	statement	findings	reports	conclusions	clarification	report	regarding	announcement
တင်ပြချက်များ	recommendations	findings	statements	suggestions	reports	conclusions	proposals	evaluations	guidelines	discrepancies
တင်ပြချက်များကို	recommendations	findings	statements	conclusions	proposals	criticisms	suggestions	emails	evaluations	notifications
တင်ပြခြင်း	validation	clarification	recommendations	evaluations	approving	adjudication	confirmation	evaluation	hearings	consideration
တင်ပြထား	descriptions	substantiated	submitted	outlining	pertinent	documented	concerning	clarification	statements	findings
တင်ပြထားပါသည်	regarding	detailing	documented	contained	concerning	detailed	reports	substantiated	discussing	documenting
တင်ပြရန်	proposals	recommendations	petitions	forwarded	submit	requesting	submitted	petition	hearings	proposal
တင်ပြ၍	ratify	inquiry	tabled	convene	proposals	recommendations	submit	hearings	conciliation	inquire
တင်ပြသော	statements	informative	document	contradictory	outlining	detailed	recommendations	statement	declarations	incorrect
တင်ပြသည်	reports	statement	announcement	statements	announcements	complaints	responding	tabled	recommendations	regarding
တင်ပြီး	exclaim	symantec	verify	forwarded	audit	engraver	sql	spreadsheet	inquire	fca
တင်မောင်	pseudonym	screenwriter	comrade	scriptwriter	goodbye	niece	granddaughter	actresses	daughter	chauffeur
တင်မြှောက်	electing	elections	elected	vote	elect	election	nominating	candidate	parliamentary	incumbent
တင်မြှောက်ခြင်း	electing	acclamation	elections	election	deliberations	nominating	candidacy	balloting	elected	reelection
တင်ရန်	proposals	drexler	proposal	formulate	submits	ask	peterhead	buyout	memorandum	vouchers
တင်၍	basie	chaudoir	obenberger	boisduval	hairspray	wax	scraps	riffs	meigen	jazzy
တင်သွင်း	submit	submitted	approve	submitting	forwarded	import	importation	tabled	reject	authorize
တင်သွင်းခဲ့သော	submitted	submit	substantiated	forwarded	submitting	invalidated	approved	falsified	rejected	excluded
တင်သွင်းခဲ့သည်	submitted	requested	forwarded	approvals	approved	submitting	substantiated	submit	rejected	reports
တင်သွင်းခြင်း	validation	verification	submitting	approving	importation	revocation	approvals	clarification	codification	evaluation
တင်သွင်းမှု	submitted	importation	inquiries	inspections	verification	approvals	criticisms	inspection	discrepancies	submit
တင်သွင်းသော	submit	submitted	objectionable	approvals	import	approve	submitting	fraudulent	audits	importation
တင့်ကား	infantrymen	troop	soldiers	troops	armed	armour	weaponry	disarmed	repelled	paratroopers
တင့်တယ်	beautiful	splendid	wonderful	lovely	splendour	sorrow	beauty	exquisite	brazen	glorious
တင့်တယ်စွာ	exquisite	beautifully	beautiful	sumptuous	adorn	gloom	delightful	splendour	joyful	splendid
တင့်တယ်သော	beautiful	graceful	elegant	splendid	sturdy	delightful	exquisite	beautifully	gracious	lovely
တင်း	coming	tapped	chit	turned	rained	pon	tar	lar	hang	tin
တင်းကျပ်	discourage	tactic	counter	sparking	curtail	warned	heightened	resisting	distraction	countered
တင်းကျပ်စွာ	deceptive	discourage	fast	curtail	tactic	discouraging	aggressive	excessive	intimidate	avoid
တင်းကျပ်သော	deceptive	aggressive	credible	frivolous	blatant	provocative	stiff	sophisticated	nonexistent	unpredictable
တင်းကြပ်	discourage	officials	complying	compliance	restrict	restricting	assuring	obstructing	impose	restrain
တင်းကြပ်စွာ	practices	oversight	compliance	fast	enforcement	regulatory	safeguards	surveillance	scrutiny	discourage
တင်းတင်း	misinformation	trusted	informants	criticise	hardline	comrade	trustworthy	biased	perceived	defectors
တင်းတင်းကျပ်ကျပ်	attackers	intimidation	tactic	insurgents	guerrilla	militias	guerrillas	retaliatory	harassment	insurgency
တင်းနစ်	tennis	volleyball	gymnastics	judo	karate	taekwondo	tournament	aquatics	swimming	tournaments
တင်းမာ	warned	health	undermined	undermine	threaten	crises	escalate	worsen	surged	recession
တင်းမာမှု	crises	involvement	instability	worsening	repercussions	implications	infighting	ramifications	disruptions	concerns
တင်းမာမှုများ	conflicts	concerns	crises	tensions	criticisms	disruptions	problems	repercussions	unrest	instability
တောင်	mountain	mountains	south	southeast	foothills	southwest	hill	northeast	slopes	north
တောင်ကို	mountains	mountain	crags	peaks	vrh	slopes	massif	hut	beinn	climbed
တောင်ကိုရီးယား	korea	korean	pyongyang	dprk	seoul	busan	koreans	mongolia	china	kyrgyzstan
တောင်ကိုရီးယား၊	korea	korean	thailand	busan	pyongyang	mongolia	kyrgyzstan	indonesia	dprk	seoul
တောင်ကိုရီးယားနိုင်ငံ	korea	kyrgyzstan	mongolia	tajikistan	thailand	kazakhstan	indonesia	bulgaria	turkmenistan	uzbekistan
တောင်ကိုရီးယား၏	korea	korean	dprk	busan	kyrgyzstan	seoul	pyongyang	mongolia	tajikistan	indonesia
တောင်ကုန်း	mountains	mountain	slopes	foothills	mountainous	hillsides	uplands	hills	massif	hillside
တောင်ကုန်းများ	slopes	mountains	hillsides	mountainous	summits	elevations	valleys	foothills	peaks	mountain
တောင်ကြား	mountain	mountains	mountainous	foothills	slopes	peaks	ridge	massif	hill	highlands
တောင်ကြီး	mountain	mountains	massif	peaks	mountaineer	mountaineering	climbed	everest	mountainous	slopes
တောင်ကြီးကို	mountain	mountains	massif	mountaineering	mountaineer	climbed	beinn	sugarloaf	lomond	crags
တောင်ကြီးမြို့	mountain	massif	mt	hermon	mount	peaks	gyi	mountains	foothills	hills
တောင်ကွင်း	mountain	slopes	mountains	terrain	mountainous	foothills	slope	scenery	southwest	panoramic
တောင်ခြေတွင်	slopes	foothills	mountains	massif	mountain	elevations	slope	ridges	crags	plateau
တောင်ငူ	mountains	foothills	massif	slopes	mountain	mountainous	beinn	peaks	peak	ridge
တောင်ငူခရိုင်	kachin	massif	mountains	mountainous	foothills	nagaland	gyi	valleys	arakan	prefecture
တောင်ငူမြို့	foothills	mount	massif	hills	imphal	town	asansol	hermon	towns	avoca
တောင်စောင်း	slopes	mountains	foothills	mountain	hillsides	mountainous	valleys	massif	uplands	escarpment
တောင်တက်	mountains	mountain	slopes	peaks	climbed	foothills	massif	mountainous	climbing	climb
တောင်တက်သမား	mountains	mountain	foothills	climbed	mountaineers	mountainous	mountaineer	climbers	farmer	peaks
တောင်တန်း	mountains	mountainous	mountain	slopes	foothills	massif	plateau	uplands	peaks	valleys
တောင်တန်းကုန်း	uplands	foothills	wooded	slopes	mountains	mountain	northeast	ridge	escarpment	eastwards
တောင်တန်းကြီး	foothills	slopes	mountain	mountains	mountainous	valleys	uplands	wooded	massif	ridge
တောင်တန်းဒေသ	mountainous	foothills	mountains	massif	uplands	mountain	slopes	lowland	highlands	cordillera
တောင်တန်းများ	slopes	summits	valleys	mountains	mountainous	foothills	elevations	hillsides	ravines	uplands
တောင်တန်း၏	mountainous	slopes	mountains	foothills	massif	mountain	uplands	plateau	escarpment	valleys
တောင်ထူထပ်၍	mountainous	slopes	mountains	foothills	hillsides	valleys	uplands	grasslands	plateaus	subalpine
တောင်ထူထပ်သော	mountainous	mountains	slopes	foothills	forested	hillsides	uplands	plateaus	valleys	sparsely
တောင်ထိပ်	mountains	peaks	slopes	foothills	mountain	mountainous	summits	plateau	steep	elevations
တောင်ထွတ်	mountains	slopes	foothills	mountain	mountainous	peaks	massif	plateau	valleys	crags
တောင်ပေါ်	mountains	mountainous	slopes	foothills	mountain	massif	peaks	hillsides	steep	climbed
တောင်ပေါ်ဒေသ	mountainous	slopes	mountains	foothills	hillsides	massif	valleys	uplands	mountain	lowlands
တောင်ပေါ်သား	mountains	mountainous	slopes	mountain	massif	foothills	slope	steep	hillside	hikers
တောင်ပေါ်သို့	slopes	climbs	climb	steep	mountains	slope	escarpment	ravine	cliffs	hilltop
တောင်ပံ	mountain	mountains	slopes	peaks	climbing	climbed	mountainous	foothills	massif	climb
တောင်ပိုင်း	northern	southern	southwestern	northeastern	southeastern	eastern	northwestern	central	western	foothills
တောင်ပိုင်း၊	southwestern	southern	northeastern	northern	northwestern	southeastern	cordillera	eastern	highlands	foothills
တောင်ဖက်	foothills	mountains	slopes	southwest	mountainous	northwest	mountain	massif	northeast	plateau
တောင်ဘက်	southwest	northeast	southernmost	northwest	southern	mountains	northernmost	southward	southeast	foothills
တောင်ဘက်စွန်း	southwest	southernmost	northernmost	northeast	easternmost	northwest	southwestern	westernmost	southeast	southern
တောင်ဘက်တွင်	southernmost	southwest	northernmost	easternmost	northwest	westernmost	northeast	southeast	southwestern	escarpment
တောင်ဘက်ပိုင်း	southern	northern	southwestern	northeastern	southwest	northernmost	southernmost	southeastern	northeast	southward
တောင်ဘက်မှ	southernmost	southwest	northernmost	mountains	northwest	northeast	southward	easternmost	foothills	westernmost
တောင်ဘက်သို့	southward	northward	eastward	eastwards	southwards	northwestward	northeastward	northwards	foothills	slopes
တောင်များ	mountains	foothills	valleys	mountainous	hillsides	slopes	mountain	elevations	ravines	peaks
တောင်မြောက်	mountains	northwest	southwest	mountain	foothills	plateau	northeast	southeastern	massif	southeast
တောင်မှ	mountains	foothills	mountain	slopes	mountainous	peaks	massif	rugged	climb	steep
တောင်ယာ	slopes	mountains	mountain	foothills	mountainous	hillsides	massif	uplands	steep	slope
တောင်ရွာ	foothills	slopes	mountain	mountains	mount	southwest	ridge	northeast	hillside	massif
တောင်ရွာ၊	glenorchy	afon	beinn	platte	interscholastic	socon	wester	butte	schoharie	east
တောင်ဝင်ရိုးစွန်း	latitudes	altitude	equator	coastlines	antarctica	altitudes	continent	canyons	mountains	coastline
တောင်သူ	mountains	mountain	foothills	farmer	mountainous	slopes	massif	farmers	uplands	mount
တောင်သူများ	stakeholders	farmers	pastoralists	policymakers	foothills	landowners	practitioners	mountains	locals	participants
‌တောင်သူလယ်သမား	farmers	farmer	peasants	agrarian	peasant	agricultural	peasantry	growers	labourers	farming
တောင်သူလယ်သမား	farmers	farmer	peasants	peasant	agrarian	peasantry	agricultural	farming	growers	laborers
တောင်သူလယ်သမားတို့၏	farmers	peasants	peasantry	peasant	agrarian	labourers	farmer	agricultural	landless	serfs
တောင်သူလယ်သမားနေ့	farmers	farmer	agrarian	peasants	peasant	agricultural	cooperatives	peasantry	growers	agriculture
တောင်သူလယ်သမားများ	farmers	peasants	laborers	labourers	peasantry	peasant	artisans	landowners	craftsmen	cooperatives
တောင်သူလယ်သမားများ၊	farmers	peasants	peasant	artisans	laborers	peasantry	craftsmen	labourers	cooperatives	agrarian
တောင်သူလယ်သမားများ၏	farmers	peasants	peasantry	peasant	laborers	labourers	agrarian	landless	serfs	agricultural
တောင်သို့	foothills	slopes	mountains	massif	outcrops	ridges	slope	eastwards	escarpment	southward
တောင်သည်	slopes	foothills	mountains	slope	escarpment	mountainous	massif	mountain	peaks	plateau
တောင်အမေရိက	americas	america	cordillera	asia	africa	continent	mountains	pacific	andean	african
တောင်အမေရိက၊	americas	asia	cordillera	africa	america	andean	eurasia	pacific	bolivia	saharan
တောင်အာဖရိက	africa	african	kenya	tanzania	namibia	americas	morocco	sudan	angola	zambia
တောင်အာဖရိကနိုင်ငံ	africa	kenya	morocco	namibia	algeria	tanzania	zimbabwe	argentina	ethiopia	angola
တောင်အာရှ	asean	volleyball	indonesia	wushu	myanmar	brunei	malaysia	rakyat	uaap	fiba
တောင်၏	mountains	slopes	foothills	massif	mountain	peaks	mountainous	ridges	plateau	elevations
တောင့်	slopes	flanks	mountain	climb	climbed	wait	slope	foot	peaks	crag
တောင့်တင်း	slopes	flanks	rugged	mountainous	slope	hillsides	backcountry	flank	flatter	dislodge
တောင့်တင်းသော	stiff	bushy	sturdy	narrow	feeble	broad	slender	weak	treacherous	good
တောင်း	mountain	promised	requested	mountains	requesting	give	climbed	request	granted	finally
တောင်းခံ	promised	request	requested	requesting	complied	requests	offer	procure	repay	withholding
တောင်းဆို	requesting	demanded	request	demands	requested	refused	promised	demanding	refusing	requests
တောင်းဆိုခဲ့	demanded	demands	requesting	demanding	refused	requested	request	refusing	requests	refusal
တောင်းဆိုခဲ့သည်	requesting	requested	demanded	refused	request	requests	demands	refusing	agreed	demanding
တောင်းဆိုချက်	demands	requesting	request	requests	demanded	requested	demanding	refusal	refused	refusing
တောင်းဆိုချက်များ	requests	demands	requesting	request	grievances	petitions	demanded	requested	suggestions	recommendations
တောင်းဆိုချက်များကို	requests	demands	requesting	request	refusal	submits	demanded	grievances	recommendations	requested
တောင်းဆိုချက်အရ	requesting	request	demands	requests	demanded	requested	refusal	petitioned	petition	refused
တောင်းဆိုခြင်း	refusal	demands	requesting	request	requests	petitioning	demanding	demanded	refusing	acceptance
တောင်းဆိုမှု	demands	requesting	request	requests	demanded	demanding	requested	claiming	alleging	complaint
တောင်းဆိုမှုများ	requests	demands	complaints	accusations	lawsuits	requesting	grievances	allegations	petitions	concerns
တောင်းဆိုရန်	demands	requesting	request	refusal	requests	demanding	demanded	refused	refusing	asking
တောင်းဆိုသော	demanding	requesting	demands	requests	request	refusal	demanded	refusing	petitioners	claiming
တောင်းဆိုသည်	demands	requesting	refusing	refusal	requests	demanded	request	refused	demanding	requested
တောင်းပန်	asking	reminded	promised	request	begged	pleading	forgiven	avail	rebuked	requests
တောင်းပန်ခဲ့သည်	refused	promised	requested	asked	requesting	reminded	refusing	told	asking	objections
တောင်းပန်ချက်အရ	deathbed	request	gladly	kindly	begged	apology	gratitude	devout	anecdote	disciple
တောင်းပန်သဖြင့်	begged	prays	kindly	gladly	forgives	forgiven	begs	avail	forgiveness	prayed
တိုင်	post	sit	hang	posts	down	blown	lay	feet	one	stand
တိုင်ကြား	instruct	inquire	instructed	instructing	inform	requested	asked	select	instructions	complied
တိုင်ကြားချက်	instructions	instruction	statements	statement	request	discretion	instructed	instructing	instruct	requested
တိုင်ကြားစာ	requested	instructed	request	instruction	instructions	instructing	permission	inquire	instruct	requesting
တိုင်တားမင်းကြီး	throne	heir	nephew	ruler	grandson	eldest	deposed	usurped	enthroned	reign
တိုင်တိုင်	furlongs	newmarket	knock	withstood	typhoon	pye	sweepstakes	decider	guineas	rebuilt
တိုင်တန်း	course	courses	grade	first	exam	senior	graduates	school	top	successful
တိုင်တမ်	probe	first	elapsed	theoretically	probes	profiles	second	retrospectively	subsequent	launch
တိုင်ပေ	held	event	main	first	contest	longest	showings	compete	standing	its
တိုင်ပင်	preside	crowning	humiliating	exercising	remain	notwithstanding	remuneration	fulfil	appoint	uncontested
တိုင်ပင်ပြီး	whereupon	cashel	anyway	fanshawe	queenie	exclaimed	wept	hluttaw	thereupon	calmly
တိုင်ပင်၍	guineas	dewhurst	furlongs	antigonus	unplaced	broodmare	hluttaw	hardwicke	majesty	dugdale
တိုင်ဖုန်း	iphone	phones	phone	smartphone	smartphones	mobile	televisions	telephones	advertised	bundled
တိုင်ဖွန်း	typhoons	typhoon	storm	hurricane	coinciding	history	strongest	evacuations	neared	landfall
တိုင်ရယ်	later	coincidentally	was	first	last	when	one	after	another	second
တိုင်လာ	recall	to	their	own	came	only	before	move	first	theirs
တိုင်လို	ginger	inches	millimeter	ears	shiny	toasted	hooked	colour	touch	millimeters
တိုင်ဝက်	entirety	entire	first	only	time	states	was	united	over	one
တိုင်အောင်	make	period	regain	once	entirety	its	last	although	longer	but
တိုင်း	tho	one	hang	just	lay	wrap	hold	down	splits	paw
တိုင်းကို	unify	idolator	más	intercepts	uv	cpa	subscribe	udp	uva	vevo
တိုင်းကြီး	grandson	patriarch	mathews	malankara	ruler	nephew	descendant	archbishop	ascended	archdeacon
တိုင်းခန်း	bedroom	parlor	afterward	bedrooms	faithful	gifts	figurehead	lobby	sojourn	accompany
တိုင်းတာ	measurement	measured	measurements	measuring	measure	calculate	calculated	calibration	calculates	calculation
တိုင်းတာချက်	measurements	measurement	measured	measuring	forecasts	estimating	measure	calculate	calculation	calculations
တိုင်းတာခြင်း	measurement	measurements	measured	measuring	calculation	calibration	calculations	estimation	calculating	estimating
တိုင်းတာမှု	measurement	measurements	measured	measuring	measure	calculation	estimating	calibration	calculations	prediction
တိုင်းတာသော	measurement	measurements	measured	measuring	calculate	sensors	waveform	modulated	measure	wavelength
တိုင်းတစ်ပါး	titleholder	monarchy	foremost	lgbt	citizen	defunct	luxembourg	magnates	wealthiest	legitimate
တိုင်းတွင်	epidendrum	rchb	hieracium	cadena	azteca	izz	lý	slm	saussure	cze
တိုင်းထွာ	measured	intensity	breadth	intensities	measurement	quantify	measuring	measurements	mbar	meteorology
တိုင်းဒေသကြီး	judiciary	statutory	hluttaw	assessor	committees	legislative	appropriations	jurisdictional	legislator	attorneys
တိုင်းနိုင်ငံ	thailand	myanmar	laos	luang	cambodia	yunnan	vientiane	vietnam	indonesia	laotian
တိုင်းနှင့်	fabaceae	nymphalidae	subtribe	asteraceae	phylogeny	epidendrum	psychotria	russula	bicolor	orchidaceae
တိုင်းပြည်	declare	dictatorial	populace	dictatorship	throughout	overthrowing	reclaim	leaders	dictator	organize
တိုင်းပြည်က	usurper	dictator	tyranny	overthrew	dictatorial	dictatorship	overthrown	declare	rightful	tyrannical
တိုင်းပြည်ကို	usurper	ruler	usurped	overthrew	overthrown	dawla	pompeius	viceroy	dictatorship	dictator
တိုင်းပြည်တွင်	nikephoros	figurehead	türkiye	diario	komnenos	dictatorship	usurper	dictator	doukas	venizelos
