ယခု လ တွင် ပျားရည် နှင့် ပျားဖယောင်း များ ကို စုဆောင်း ကြ သည် ဟု ခန့်မှန်း နိုင် သည် ။	This month they collect honey and beeswax is estimated.
ငှက် တို့ သည် ကျစ်လျစ် ၊ အခေါင်း ရှိ ၊ ပေါ့ပါး ။	Compact, birds Head Lighter.
ပြည်နယ် အားလုံး နှင့် ပြည်ထောင်စု ၂ ခု ဖြစ် ကြ သော ပူဒုချယ်ရီ နှင့် ဒေလီ နယ်မြေ တို့ တွင် ရွေးကောက် တင်မြှောက် ထား သော လွှတ်တော် ရှိ ပြီး အစိုးရ မှာ ဝက်မင်စတာ ဖြင့် ဖွဲ့စည်း ထား သည် ။	All states and 2 Union Vice cherry and hot in the Delhi area to be elected by Parliament, formed by the government at Westminster.
ပလေးတို သည် စဉ်းစား သဘော အားဖြင့် အမှန်တရား ကို သိ နိုင် သည် ဟု ဆို ၍ အယ်ရစ္စတိုတယ် က မူ လက်တွေ့ ၏ အရေးကြီး ကို လည်း ဖော်ပြ လေ သည် ၊ ဆိုကရေးတီး ။	Play is considered to be able to know the truth. Eh Chris, he mentioned the importance of the practical Socrates.
၅ မင်္ဂလာဆောင် သည် မ လာ ဘဲ နေ စဉ် ၊ ထို သတို့သမီး အပေါင်း တို့ သည် ငိုက် ၍ အိပ်ပျော် ကြ ၏ ။	5 wedding did not come up, All the bride. They were caught sleeping.
သမိုင်း အရ မြန်မာ တစ် လုံး နှင့် သက်ဆိုင် သော အမည်နာမ မ ရှိ ခဲ့ ချေ ။	History was not associated with a name.
ဂရိ ၏ အဆို အားဖြင့် ကနဦးဆုံး လူ တို့ တီထွင် ခဲ့ သော ဘာသာစကား သည် အသံထွက် နှင့် ရည်ညွှန်း လုံးဝ ကိုက်ညီ မ ရှိ ဟု ဆို ၏ ။	Greece&#39;s men first invented language pronunciation and reference of the match completely.
အဲဒီ လောက် လိုင်း တွေ ကို ခဏခဏ ပြောင်း မ နေ နဲ့ ။	Constantly changing this line.
ခပ်ဖြည်းဖြည်း ပြော ပါ ။	Please speak very slowly.
ရန်ကုန် ၏ မြောက် ခန့်မှန်းခြေ အားဖြင့် မိုင် ၂၀၀ ၃၂၀ ကီလိုမီတာ အကွာ တွင် တည်ဆောက် များ စတင် လုပ်ဆောင် ခဲ့ သည် ။	Approximately 200 miles north of Rangoon, had begun to build a 320 km.
ဝက်ဝံ အမျိုးကွဲ ပေါင်း ၈ မျိုး မျှ သာ ရှိ သော်လည်း နေရာ အနှံ့အပြား တွင် နေထိုင် ကြ ပြီး မြောက် ကမ္ဘာ ခြမ်း ရှိ နေရာ အနှံ့အပြား နှင့် တောင် ကမ္ဘာ ခြမ်း ရှိ အချို့ နေရာ တို့ တွင် တွေ့ ရ သည် ။	All varieties bear only 8, but they live in places across the northern hemisphere, and to see some of the hemisphere.
နယ်ချဲ့ ကို တိုက်ဖျက် ရန် သုံး ခဲ့ သော လက်နက် များ သည် လွတ်လပ် သော နိုင်ငံ တစ် ခု ကို တည်တံ့ ခိုင်မြဲ ၍ တိုးတက် စေရန် အတွက် သင့်လျော် သော ကိရိယာ များ ဖြစ် သည် ဟု အစဉ် အမြဲ မ သူ ပြည့်ပြည့်ဝဝ နားလည် ပါ သည် ။	The weapon that was used to fight against the imperialist independent countries to improve sustainability. The appropriate device is not always fully understood.
ဒီ နေရာ က နေ ခရီး ဝေး သလား ။	You away from this trip.
အလင်းရောင် ပေး တာ ကို သုံး လို့ ရ ပါ သလား ။	Whether to use light.
၄၁ ထိုအခါ လက်ဝဲ ၌ ရှိ တို့ အား မင်းကြီး က ၊ ကျိန် ကို ခံ တို့ ၊ မာရန်နတ် နှင့် သူ ၏ တမန် တို့ အဖို့ ပြင်ဆင် သော ထာဝရ မီး ထဲ သို့ ငါ့ ထံ မှ ခွာ သွား ကြ လော့ ။	41 Then the king of the Left Oath, Of spirits and angels from me into the eternal fire which is prepared to go to.
အချို့ မှာ မူ အပင်ထွက် သဘာဝ များ အား အခြေခံ ၍ ထုတ်လုပ် ထား သော ပစ္စည်း များ ဖြစ် သည် ။	Some plants based on natural products that are produced..
မူးဝေ နေ တယ် ။	I was dizzy.
သို့သော် အင်္ဂါ သည် ကမ္ဘာ နှင့် စာ လျှင် နေ မှ ပို ဝေး သဖြင့် ရာသီဥတု များ မှာ ကမ္ဘာ ထက် ပို ၍ ရှည်ကြာ သည် ။	But parts of the world and by far more than the world climate. Long.
နက္ခတ္တဗေဒ များ က ခြောက် ခု မြောက် လ တစ် လုံး ပင် ရှိ လိမ့် ဦး မည် ဟု ယူဆ ကြ သည် ။	Astronomy is six months, and they probably will.
စန္ဒာ သည် ကရကဋ် ၏ ရာသီခွင် ဖြစ် သည် ။	Sanda Cancer zodiac.
အချို့ သော သူ တို့ သည် ငါး ကို အလှမွေး တိရစ္ဆာန် အဖြစ် မွေး ကြ သည် ။	Some fish အလှမွေး as animal feed.
ခန့်မှန်းခြေ အားဖြင့် အေဒီ ၅၇၃ ဝန်းကျင် က ပင် စတင် တည်ထောင် ပြီး ဖြစ် သည် ဟု ဆို သည် ။	Approximately founded around 573 AD.
အချို့ ဇီးကွက် တို့ သည် ရေတိမ် ၌ ရှိ သော ငါး များ ကို ဖမ်းယူ တတ် သည် ။	Owl is to catch the fish in the shallow water.
ပါလီမန် သည် အစိုးရ ၏ ဥပဒေပြု အစိတ်အပိုင်း အဖြစ် တည်ရှိ သည် ။	The Parliament is located as part of the government&#39;s legislative.
၂၀၀၆ ခုနှစ် တွင် အင်အယ်လ်ဒီ ပါတီ အများအပြား သည် တပ်မတော် နှင့် ပြည်ထောင်စု တို့ ၏ ဖိအားပေး ကြောင့် နုတ်ထွက် ခဲ့ ကြ သည် ။	In 2006 a large number of parties အင်အယ်လ်ဒီ had resigned because of the pressure of the military and federal.
အချို့ က မျောက် များ ကို အိမ်မွေးတိရစ္ဆာန် အဖြစ် မွေး လေ့ ရှိ ကြ သော်လည်း သူ တို့ ၏ ဉာဏ်ရည် ထက်မြက် နှင့် စိတ် ဂရုစိုက် ပိုမို လိုအပ် တို့ ကြောင့် မ မွေး သင့် ပေ ။	Some born in a monkey as a pet, but he&#39;s intelligent and often require more care should be born.
ဥပမာ အနေဖြင့် လူငယ် ကလေး ၏ အမည် သည် ရဲသွင် ဖြစ် သည် ။	For example, the name of the young child to look for.
နောက် အားနည်း တစ် ခု က တော့ ED Tvenhanced definition သို့မဟုတ် HDTV high definition wide screen television အတွက် သာ ခွင့်ပြု ထား ပြီး 4 : 3 set ပိုင်ရှင် များ အတွက် အခွင့်အလမ်း မ ရှိ ဖြစ် နေ သည် ။	A weak ED Tvenhanced definition or HDTV high definition wide screen television is allowed only in 4: 3 and the opportunity to set the owner.
၁၄ ထိုနည်းတူ ကောင်းကင်ဘုံ ၌ ရှိ တော် မူ သော သင် တို့ အဘ သည် ဤ သူငယ် တစ် ယောက် ကို မျှ ပျက်စီး ငှာ အလို မ ရှိ ။	14 In the same way that he is in heaven, the father of one of these little ones may not perish.
ယူနီတေးရီးရန်း သည် ယူနီတေးရီးရန်း နှင့် ပူးပေါင်း ကာ မြန်မာ တွင် ဆိုင်ကလုန်း ဒဏ် ကြောင့် အသက် မ သေ ဘဲ ကျန်ရစ် များ ကို ကူညီ ရန် လူသား သော ကယ်ဆယ်ရေးရန်ပုံငွေ တစ် ရပ် ထူထောင် ခဲ့ သည် ။	History of Grand History in collaboration with Grand cyclone was not left without help because the man had set up a relief fund.
လက်ရှိ လူဦးရေ ၏ ၅၀ ရာခိုင်နှုန်း ကျော် မှာ အသက် ၂၅ နှစ် အောက် များ ဖြစ် ပြီး ၆၅ ရာခိုင်နှုန်း ကျော် မှာ အသက် ၃၅ နှစ် အောက် များ ဖြစ် သည် ။	More than 50 percent of the current population is under the age of 25 years and more than 65 percent are under the age of 35 years.
ဗုဒ္ဓ ကို သက်ဝင် များ ဖြစ် သည့် အတိုင်း မြန်မာ မှာ ကဲ့သို့ ပင် ဘုန်းတော်ကြီးကျောင်း များ မှာ ခမာ တို့ ၏ လူမှု များ ဖြစ် ကြ သည် ။	As to activate the Buddha of the monastery as a community.
တိုင်းတပါးသား များ ဖြစ် သည့် မျိုးနွယ်စု တရုတ် ၁၀ % နှင့် မလေး ၃ % တို့ လည်း နေထိုင် ကြ သည် ။	တိုင်းတပါးသား ethnic Chinese, 10% and 3% of the population.
မားဂွီး အမည် မ ရ မီ က ပင် ဘိတ် နှင့် မြိတ် နှစ် မည် ရှိ နှင့် ပြီး ဖြစ် သည် ။	Even before the big name ဂွီး Preparation and dependency exists.
တစ်ခါတစ်ရံ ရေ သည် ညစ်ပတ် ၍ နေ တတ် ရာ ထိုအခါ ၌ ငါး သည် ရေ ပေါ် သို့ တက် လာ ကာ လေ ကို အားရ စွာ ရှူ သည် ။	Sometimes the water is dirty. Then the fish into the water on the air to breathe.
ဒုတိယ အကြိမ် ကြော်ငြာ တွင် ဂိတ်စ် နှင့် Seinfeld တို့ သည် သာမန် မိသားစု တစ် စု ၏ အိမ် လေး တွင် သာမန် လူ တွေ နှင့် အသားကျ စေရန် ကြိုးစား နေ သည့် အနေအထား ဖြစ် သည် ။	The second ad, Gates and Seinfeld is a typical family of four ordinary people, and we&#39;re trying to position.
ရိုးသား ၊ ရဲရင့် ၊ ယုံကြည် သည့် အတိုင်း ပြောဆို ၊ ကိုယ်ကျင့်သီလ ကောင်းမွန် ၊ ရပ်တည် ခိုင်မာ ၊ ဆုံးဖြတ်ချက်ချ ရာတွင် ပြတ်သား ၊ မှန်ကန် သည့် ဦးဆောင် ကို ပေး ၊ ကိုယ် ယုံကြည် ကို မ ကြောက် မ ရွံ့ နောက် မ တွန့် ဘဲ တစိုက်မတ်မတ် လုပ်ဆောင် ၊ တိုင်းပြည် နှင့် လူမျိုး အပေါ် စိတ် ကြီးမား ၊ ကိုယ်ကျိုးစွန့် အနစ်နာခံလိုစိတ် အပြည့် ရှိ ၊ နိုင်ငံ ကို နှံ့နှံ့စပ်စပ် လေ့လာ ပြီး လက်တွေ့ကျကျ အဖြေ ရှာ ၊ အနာဂတ် ကို ကြို မြင် တတ် ပြီး အရှည် သဖြင့် တွေးခေါ် စသည့် အရည်အချင်း ပေါင်း မြောက်မြား စွာ နှင့် လူ့ ကို ဖြတ်သန်း သွား ခဲ့ သည် ။	honest, Courageous As believe that, I practice religion, Stand firm Resolution, decision-making Valid, the leading provider I believe it does not fear another wrinkle consistently, Large countries and nations, Full unselfish, willing to sacrifice, Thorough study and practical solution, By the length of the future foresees thinking skills, and had to go through the human.
ကောသလ အိပ်မက် ၁၆ ချက် သည် ကား မြတ်စွာဘုရား သက်တော်ထင်ရှား ရှိ စဉ် က ကောသလ မြင်မက် သော အိပ်မက် ဖြစ် သည် ။	ကောသလ dream, while the 16 and appeared in one breath ကောသလ dream.
ပြင်သစ် သည် မြန်မာ အား အီးယူ မှ ပိတ်ဆို့ သည့် ကြား ထဲ က မြန်မာ နှင့် ထိုင်း ကို သွယ်တန်း ထား သော ရတနာ ကို အောင်မြင် စွာ လည်ပတ် စေ နိုင် ခဲ့ သည် ။	France is the EU, in the block between the sound and the pipeline to Thailand, have been able to operate successfully.
မေ ၁၅ ရက် တွင် ၊ ကုလသမဂ္ဂ OCHA သည် မြန်မာ HIC ဝက်ဘ်ဆိုဒ် ကို စတင် ဆောင်ရွက် ခဲ့ သည် ။	On May 15, UN OCHA HIC website launch.
အိတ် ပျောက် သွား လို့ ပါ ။	Lost bags.
ဒီ နေရာ က လွတ် နေ ပါ သလား ။	Whether this space is empty.
သာမန် အားဖြင့် ဓာတု ကို စူးစမ်း ပြု ရာတွင် ဓာတ်ခွဲခန်း များ ရှိ laboratory glassware များ ကို အသုံးပြု သည် ။	Explore by ordinary chemical laboratory in the use of laboratory glassware.
လ ပေါင်း များ စွာ သဘောထား ချင်း ဖလှယ် ပြီးနောက် ဗိုလ်ချုပ် သည် သခင် ၊ သခင် ၊ သခင် တို့ နှင့် ၁၉၄၄ ခုနှစ် ဩဂုတ် တွင် ရက် အနည်းငယ် ကြာ လျှို့ဝှက် စည်းဝေး ပါ သည် ။	After the exchange of opinion, General Sir, Sir, The masters, and in August 1944, a secret meeting in a few days.
ဓာတ်မှန်ရိုက် စေ ချင် တယ် ။	Ray.
ရောက်ဘာပြား ၊ သံရည်ကျို ၊ သံအမာတင် လုပ်ငန်း ၊ ဓာတ်မြေဩဇာ ၊ ရေ ၊ မော်တော်ယာဉ် စသည် တို့ ကို အဓိက လုပ်ကိုင် လျက် ရှိ ကြ သည် ။	What I boiled the juice, Martin, chemical fertilizer, water , The vehicle is a major operation.
ဉာဏ်ရည် ကောင်း ၍ စာပေ ဖက် တွင် ထူးချွန် သော်လည်း စကား နည်း လွန်း သဖြင့် ဦးဖာ သည် မိမိ ၏ အသက်မွေးဝမ်းကျောင်း အလုပ် ဖြစ် သော ရှေ့နေ အလုပ် ၌ အောင်မြင် မ ရှိ ခဲ့ ပါ ။	Intelligence. Excelled in literature, but too little patch of his career working for the lawyer was not successful in the job.
အစာ ရှာ ၍ မ ရ နိုင် သည့် အဆုံး တွင် လူ ကို ပင် သတ် စား လေ့ ရှိ သည် ။	At the end of the food available. People often eat.
ပင်လယ်ဇင်ယော် များ နှင့် ကြိုးကြာငှက် များ မှာ မူ ခြေစုံထောက် ၍ ခုန် သည် က တစ်ဖုံ ၊ ခြေ တစ် ချောင်း တည်း ထောက် ၍ ခုန် သည် က တစ်နည်း ၊ လည်တံ ကို ကိုင်းညွတ် သည် က တစ်သွယ် အားဖြင့် ဟန်ရေးပြ တတ် ကြ သည် ။	The seagull and the crane, foot powder and a detective leap. Dancing under a stick. In other words, The bow in the neck by a slender pretensions.
အယုဒ္ဓယ ထိုင်း พระนครศรีอยุธยา ထိုင်း ၊ အယုဒ္ဓယ ၏ ရှေး မြို့တော် ဟောင်း ဖြစ် ၍ ဗန်ကောက် မှ မြောက် သို့ မိုင် ၅ဝ ခန့် အကွာ ၊ အောက်မဲနမ်ချောင်ဖယား အတွင်း ရှိ ကျွန်း ပေါ် တွင် တည်ရှိ သည် ။	Ayutthaya, Thailand Thai พระนครศรีอยุธยา Ayutthaya, the ancient former capital of Bangkok., About 5 miles away, Mae Nam is located on a secluded island.
ဥပမာ ဂျီဒီပီ ၏ ၁ဝ ရာခိုင်နှုန်း ကို ခေတ်မီ နိုင်ငံခြား ဖြစ် လက်နက် ဝယ်ယူ ခဲ့ ပါ က ဝယ်ယူ သည့် လက်နက် အရေအတွက် မှာ ငွေ ပေါက်ဈေး ပေါ် တွင် မူတည် သည် ။	For example, 1% of GDP for the purchase of advanced foreign weapons purchases, the number of weapons, depending on the price of silver.
မင်း နဲ့ စကားပြော ရ တာ အရမ်း ကောင်း တယ် ။	I spoke with was very good.
ကျွန်တော် တို့ ဒီ ကိစ္စ ကို ကမူးရှူးထိုး အလျင်စလို ဆောင်ရွက် မှာ မ ဟုတ် ပါ ဘူး ။	In this case, it is not to rush rashly.
သား သည် တောင်ယာ က လာ ၍ အိမ် အနီး သို့ ရောက် သောအခါ ၊ က ၊ တီး အသံ ကို ကြား လျှင် ၊ ၂၆ ငယ်သား တစ် ယောက် ကို ခေါ် ၍ အဘယ် သို့ သော အခြင်းအရာ နည်း ဟု မေး ၏ ။	Br, and when he came near the house. , If you hear a real voice, 26 had a young son. What say.
အစိုးရ များ သည် ဆန်ဆေဗာဒို ၏ မြောက် နှင့် အရှေ့ ရှိ ပြောက်ကျား အခြေစိုက် စခန်း နှစ် ခု ကို အပြင်းအထန် တိုက်ခိုက် ချေမှုန်း ခဲ့ သည် ။	The government&#39;s rice ghost of Dora in the north and east of the guerrillas had attacked two bases of heavy assault.
ဂျင်မ် ၊ ဒီ မှာ ခင်ဗျား အတွက် တစ် စောင် ပါ ။	Jim, In this, you are in a blanket.
ခင်ဗျား ဘယ် သွား မလို့ လဲ ။	You do not.
ပြည်သူ့ ရွေးကောက်ပွဲ မ ကျင်းပ မီ နှင့် အခြေခံ သစ် မ ရေးဆွဲ သေး မီ မြန်မာ ၏ အစိုးရ တာဝန် တို့ ကို မြန်မာ ထံ သို့ လက်တွေ့ အရ လည်းကောင်း ၊ ဥပဒေ သဘော အရ လည်းကောင်း ၊ ချက်ချင်း လွှဲပြောင်း ပေး ရန် ကို သူ က အားထုတ် ခဲ့ ပါ သည် ။	Before holding public elections and drafting a new basic responsibility of government before the clinical and According to the law, and Please try to transfer immediately.
အယ်လဖာ တွင် ပါ သော လျှပ်စစ် ဝင် နေ သည့် အရာဝတ္ထု များ သည် ဗီတာ တွင် ပါ သော လျှပ်စစ် ရှိ သည့် အီလက်ထရွန် တို့ ထက် လေး ၍ အသွားနှေး သော်လည်း တစ် စက္ကန့် လျှင် မိုင် ပေါင်း နှစ်သောင်း နှုန်း ခန့် မျှ နှင့် ရေဒီယမ် အတွင်း မှ ထိုးထွက် ကို သိရှိ ရ လေ သည် ။	Alcohol patch electrical objects Vitamin electricity than the electron. A slow but about twenty miles per second, and the salt water out information.
ကျေးဇူးပြုပြီး သိပ် တို အောင် မ ညှပ် ပါ နဲ့ ။	Please do not cut too short.
ထို့ကြောင့် စန်းနီလာအုတ္တမ မြင် ခဲ့ ရ သော သားရဲတိရစ္ဆာန် မှာ ကျား သာ ဖြစ် နိုင် သည် ။	As a result, San sapphire အုတ္ beast that had not seen the animal can be a tiger.
ကုသိုလ်တော် အနီး တွင် အတုမရှိ ရှိ သည် ။	Near ကုသိုလ်တော် unique.
မြန်မာ သည် အာရှ ၏ မှတ်သုံရပ်ဝန်း တွင် ကျရောက် ပြီး ၎င်း ၏ ကမ်းရိုးတန်း များ ရရှိ သော မိုးရေချိန် မှာ နှစ်စဉ် ၅ဝဝဝ မမ ၁၉၇ လက်မ ရှိ သည် ။	The use of the Asian zone, which falls on the coast of the annual 5 thousand 197 inches of rainfall.
မြန်မာ လို အားဖြင့် မြန်မာ ဟူ သည့် ဝေါဟာရ ကို နာမ် အနေဖြင့် အသုံးပြု သောအခါ အနိမ့်သံ ဖြင့် သုံး သည် ။	The terms of which, when used as a noun is used by low iron.
ဗိုလ်ချုပ် သည် ဗိုလ်ချုပ် ကို ရယူ ခဲ့ ပြီး ကာကွယ်ရေးဦးစီးချုပ် ဖြစ် လာ ခဲ့ သည် ။	Acquiring General for General and the Chief of Defense.
၁၉၇၁ ခု သန်းခေါင်စာရင်း အရ အိန္ဒိယ ၏ လူဦးရေ သည် ၅၄၇,၉၄၉,၈ဝ၉ ယောက် ဖြစ် ရာ ကမ္ဘာ ပေါ် ၌ လူဦးရေ ဒုတိယ အထူထပ်ဆုံး နိုင်ငံ ဖြစ် သည် ။	According to the 1971 census, India&#39;s population is 547,949,8 9 in the world and is the second most densely populated country.
နီကွန် ရဲ့ အဝေးကြည့်မှန်ပြောင်း ပါ ။	Red Telescope.
ဗိုလ်ချုပ် သည် တိုင်းပြည် ၏ ဦးစားပေး လိုအပ် အရ နိုင်ငံ ၊ စစ် လုပ် နေ ရ သော်လည်း သူ အမှန်တကယ် ဖြစ် ချင် သည့် အာသီသ မှာ စာရေးဆရာ ဖြစ် သည် ။	According to the country&#39;s priority needs for the army, But he really wanted to be a keen writer.
အဲဒီ ဝတ္ထု ရေး ရင်း ဘယ်နှ ကြိမ် မျက်ရည်ကျ မိ သလဲ ဆို တာ မ မှတ်မိ ဘူး ။	Novelist times tears, I do not remember.
စာပေ စသော ယဉ်ကျေး အနုပညာ များ အလွန် ဖွံ့ဖြိုး ၍ လှပ ခန့်ညား သော အဆောက်အဦ များ ၊ စည်ကား သော မြို့ပြ ကြီး ငယ် များ ပေါ်ထွက် ခဲ့ လေ သည် ။	Literature and civilized highly developed art. Beautiful and grand buildings, The emergence of a crowded urban air.
ထို စွယ်စုံကျမ်း အတွဲ ပေါင်း ၇ဝဝ တို့ ကို ဗြိတိသျှ တွင် ယနေ့ တိုင် ပြ ထား လေ သည် ။	The Encyclopedia, Volume 7 in the British until today.
ထိုင်း ၏ ပင်လယ်ရေ သည် အရှေ့တောင် ထိုင်း အတွင်း ၌ ဗီယက်နမ် နှင့် ထိစပ် လျက် ရှိ ပြီး အနောက်တောင် ကပ္ပလီ တွင် အင်ဒိုနီးရှားနား နှင့် အိန္ဒိယ တို့ ၏ ရေ နှင့် ထိစပ် လျက် ရှိ သည် ။	Thailand&#39;s southeastern waters bordering Vietnam and Thailand, and to the southwest of the Andaman, India, Indonesia and bordering with water.
ဦးအောင်ဆန်း ၏ ဘဝ နောက်ဆုံး အပိုင်း တွင် သူ သည် နေ့စဉ် နှင့်အမျှ နိုင်ငံ ရင့်ကျက် နှင့် နိုင်ငံ ကျင်လည် တို့ တွင် တိုးတက် လာ သည် ကို မြင် နိုင် ပါ သည် ။	U Aung San, who lives in the last part of daily walk in mature countries and can see the progress.
၁၅ ရာစုနှစ် ၌ မူ ၊ ယွန်လို ၏ အမိန့်တော် ဖြင့် တရုတ် များ သည် စွယ်စုံကျမ်း ကို ပြုစု သည် ။	In the 15th century, The command of the Chinese yuan in the encyclopedia compiled.
ကမ္ဘာ သည် ရေ ပါဝင် ၇၀ % နှင့် ကုန်းမြေ ၃၀ % ခန့် ရှိ သည် ။	The world, including approximately 70% and 30% of the land.
တာ သည် ပါဠိ အတီ တပုဒ် ပျက် ၊ အတိတ် ဟော သော်လည်းကောင်း ၊ အန္တာ ပုဒ် ပျက် အဆုံးအဖျား ဟော သော်လည်းကောင်း ဖြစ် သည် ။	Pali, Pablo does not work, But in the past, At the end of the Antarctic tracks broken fever either.
နေ့ တိုင်း တစ် နေ့ ကို ပီကေ ဘယ်နှ ခု ဝါး သလဲ ။	A gum chewing pomegranate.
ဝပ် ကြ သည် ။	Coward.
ကျသင့် ငွေ ကို ဘယ် မှာ ပေး ရ မှာ လဲ ။	Where your money.
ဆရာကြီး ၏ အမည်ရင်း မှာ ဦးဖေသိန်း ဖြစ် သည် ။	He&#39;s real name ဖေသိန်း.
အဖွဲ့ချုပ် သည် နောက်ထပ် CHF ၅၀ သန်း ကို မေတ္တာရပ်ခံ တစ် ခု အနေဖြင့် စတင် ဆောင်ရွက် ခဲ့ သည် ။	Federation requested an additional CHF 50 million for the launch.
ကျွန်တော် ဒီ ကို စီးပွား ကိစ္စ ကြောင့် ရောက် နေ တာ ပါ ။	This is due to economic issues.
မိုးတွင်း သုံး လ အတွင်း ရဟန်း များ ကျောင်း ၌ နေ ပါ မည် ဟု အဆိုပြု သော လ ကို ဝါဆို ဟု ခေါ် သည် ။	During the three-month rainy season, monks will stay in school, called the proposed Waso.
ကမ္ဘောဒီးယား သည် အရှေ့တောင် တွင် ပါဝင် ပြီး လူဦးရေ ၁၃ သန်း ခန့် ရှိ သည် ။	Participate in southeastern Cambodia, with a population of approximately 13 million.
သမုဒ္ဒရာ ရှိ ငါး တို့ သည် ကျောက်မီးသွေး တမျှ နည်းနက် ကြ ပေ သည် ။	The fish of the sea, the black coal.
မြန်မာ အနေဖြင့် ဆိုင်ကလုန်း ကြောင့် ပျက်စီး မှာ အမေရိကန် ၁၀ ဘီလီယံ ရှိ သည် ဟု ခန့်မှန်း သည် ။	The damage caused by cyclones in the US 10 billion is estimated.
အခြား စီးပွား များ တွင် လယ်ယာ ထွက်ကုန်ပစ္စည်း များ ၊ ယက္ကန်း နှင့် အထည်အလိပ် ၊ သစ် ထုတ်လုပ် ၊ ဆောက်လုပ် ပစ္စည်း များ ၊ ကျောက်မျက်ရတနာ နှင့် သတ္တု တူးဖော် ၊ ရေနံ နှင့် သဘာဝဓာတ်ငွေ့ လုပ်ငန်း များ ပါဝင် သည် ။	In other business, agricultural commodities, Blind handloom and textile, The new production, Construction materials, And the mining of gemstones, The oil and gas industry participants.
ရုရှား က စတုတ္ထ လိုက် ပြီးလျှင် ဂျာမန် က ပဉ္စမ လိုက် သည် ဆို ၏ ။	Russia is the fourth and Germany fifth.
Triticum Eukaryotic ဆဲလ် များ ဖြင့် ဖွဲ့စည်း ထား ပြီး နေရောင်ခြည် အသုံးပြု ကာ အစာ အဖြစ် အော်ဂန်နစ် များ ထုတ်လုပ် သည့် သက်ရှိ များ ကို အပင် ဟု ခေါ် သည် ။	Triticum Eukaryotic cells formed by using sunlight as an operator of classical organic producer organism is called.
ဗမာ များ သည် ရင်စေ့ရှပ်အင်္ကျီ ကို ဝတ်ဆင် ပြီး ပိုးချည် ဖောက် ထား သော ကွင်းလုံချည် ကို ဝတ်ဆင် ၍ ပခုံး တွင် ပုဝါ လွှား ရင် တစ်ဖက်တစ်ချက် တွင် ချ ထား သည် ။	Wear the shirt at the end of a silk thread through the rings wear ourselves. If the shoulder and shield on either side.
တရုတ် တို့ ၏ အင်အား ကြီးမား စွာ နယ်ပယ် ချဲ့ထွင် များ ၊ လူမျိုးစု အချင်းချင်း တိုက်ခိုက် များ ကြောင့် အဆိုပါ လူမျိုးစု သည် တောင် ဒေသ များ သို့ ရွှေ့ပြောင်း လာ ကြ သည် ။	The expansion of China&#39;s huge field, Because of inter-ethnic fighting in the tribal south, they moved into the region.
ဘယ် အချိန် မှာ ထွက် ပေး ရ မှာ လဲ ။	To give out at any time.
ရက်သတ္တပတ် နှစ် ပတ် ထက် ပို သော နောက်ပိုင်း အထိ အမှန်တကယ် လိုအပ် သော လူဦးရေ ၏ ၂၅ ရာခိုင်နှုန်း ထံ သို့ သာ ကယ်ဆယ် အကူအညီ များ ရောက် ရှိ ခဲ့ သည် ။	After more than two weeks until the actual needs of the population, from 25 percent to help rescued.
ဤ တစ်မူထူးခြား သော ချဉ်းကပ် နည်း ကို အောင်မြင် စွာ သက်သေပြ ခဲ့ သည် ။	This unique approach has proven successful.
ထို အရပ် ၏ အဓိက လုပ်ငန်း တစ် ရပ် လည်း ဖြစ် ပေ သည် ။	And there&#39;s a major industry.
ရန်ကုန် တက်ရောက် ခဲ့ ပြီး ၊ ရုပ်ရှင် တွင် ဇောက်ချ လုပ်ကိုင် လို ၍ တက္ကသိုလ် နောက်ဆုံး နှစ် တွင် ကျောင်းထွက် ခဲ့ သည် ။	Yangon, was attended Film dedicated., A student at the university last year.
ဗိုက်နာ တယ် ။	I have a stomach ache.
သင် ဟာ ဝီကီ တွေ နဲ့ စိမ်း မ နေ ရ ပါ ဘူး ။	Wiki and green.
ဘိုးတော်ဘုရား ဗဒုံ လက်ထက် ၁၇၈၄ ခုနှစ် တွင် သား အိမ်ရှေ့မင်းသား ဦးပေါ် က ရခိုင် ရခိုင် မှ ပင့်ဆောင် ခဲ့ သည် ။	Bodawpaya Ba salt in 1784 in the days of the Prince on the Rakhine Rakhine.
မြင်း သည် အချိုးအစားကျ သော တိရစ္ဆာန် ဖြစ် သည် ။	The proportion of horses for animals.
သို့သော် ဈေးကွက် ထဲ မ ဖြန့် မီ ကော်ပီ ကို လူထု ထံ သို့ တိတ်တဆိတ် ဖြန့် လိုက် သည် ကို ရှာဖွေ တွေ့ ရှိ ခဲ့ သည် ။	However, the market spread a copy before the public to spread quietly Discovery.
ရှယ်ရီ မှာ ချင် လို့ ပါ ။	Sherry.
ငါး များ တွင် ပုံမှန် အားဖြင့် အကြေးခွံ နှင့် ဆူးတောင် များ ရှိ တတ် သည် ။	Typically, fish scales and fin.
ဗုဒ္ဓ ရောင်ဝါထွန်းလင်း ခဲ့ သော်လည်း အရိုးစွဲ ၍ အမြစ်တွယ် နေ ပြီ ဖြစ် သော ဗြဟ္မဏ သည် လုံးဝ ပပျောက် မ ရှိ ပေ ။	Inflammation of the Buddha&#39;s Enlightenment is inherent, but sooner. Brahminism does not completely eliminate.
ကျွန်တော့် ဘယ် မှာ လဲ ။	My.
ပြီး တော့ သင့်တော် တဲ့ စားသောက်ဆိုင် တစ် ဆိုင် ကို ထောက်ခံ ပေး ပါ ။	And support for a suitable restaurant.
