the story of jan darra	จัน ดารา
The first room I ventured into was a bedroom - beautiful, luxurious, paradisiacal and, to me, not a little aphrodisiac.	ห้องแรกที่ผม เลือกเปิด เข้า ไป เป็นห้องนอน สวยหรู น่าบรม สุข และปลุกเร้า อารมณ์ผม ยังกะอะไรดี
At first, I thought I had come to the right place, because this couldn't possibly be Master Khajorn's bedroom, but there was no Mrs Bunlueang waiting in it.	ทีแรกผมนึก ว่าผมมา ถูกที่ แล้ว เพราะมันต้อง ไม่ใช่ห้องนอนของคุณ ขจร แน่ๆ แต่ทว่า ในนั้น ก็หา ได้มีคุณ บุญเลื่องรอ อยู่ ไม่
She was in another room in which she slept or sat in privacy whenever she felt like it.	เธออยู่ อีกห้องหนึ่ง ซึ่งใช่ เป็นที่รโหฐานสำหรับ นั่งๆ นอนๆ เป็นงานอดิเรกประวัน
The room had many doors and windows, all opened wide.	เป็นห้อง ซึ่งมีประตูหน้าต่างเปิด โล่งโถง อยู่มากมาย เสีย จริงๆ
She laid prone but slightly at an angle on a long rattan couch, her face cushioned by one arm.	เธอนอนค่ำตะแคงหน้า หนุนท่อนแขน อยู่ที่เก้าอี้หวายยาว
I didn't quite dare yet gaze greedily at the exposed parts of her body and whether out of my instinct of survival or sense of guilt, my eyes swept through the various doors and windows and I was relieved to find that nothing could be seen from the surrounding houses, and from the main house in particular.	ผมยัง ไม่มี แก่ ใจ จะตะกลามตาจาบจ้วงท่อนกาย ส่วนที่ล่อนจ้อนของเธอ ในทันทีหรอก และ จะ เป็น ด้วยสัญชาตญาณระแวงภัย หรือ เป็น ด้วย ความพิรุธ ใน ใจ ก็ ไม่ทราบ ได้ ผม ได้ กวาดนัยน์ตาเล็งแลออก ไปตามประตูหน้าต่างทุกช่องบรรดามี แล้ว ก็ เป็นที่ สบาย ใจ ได้ว่าทุกช่องทาง เหล่านั้น อยู่ ใน มุมที่อับสายตาจาก เรือนหลัง อื่น... โดยเฉพาะจากบ้านหลัง ใหญ่
I wasn't aware she was watching me until I heard her asking me drowsily: "Are you worried about my body on my behalf, young man?"	ผมไม่รู้ หรอกว่าเธอแลดูผม อยู่จนกระทั่ง ได้ยิน เสียงง่วงๆ ถาม ขึ้นมา " เป็นห่วง เนื้อ ตัว แทนฉันหรือ - พ่อจัน"
Dumbstruck, I walked up to her and kneeled down beside the rattan couch, next to her naked body.	ผมพูดไม่ออก ได้ แต่กราน เข้า ไปคุกเข่าลงข้างเก้าอี้หวาย และข้างท่อน ตัวที่ เปล่าเปลือยของเธอ
My eyes must have been feverishly active though, because I saw her looking at them and smiling teasingly, before she turned her head in the general direction of a small table at the top of the couch.	ลูกตาของผมมันคงจะขมีขมัน เอาการ เอางาน เป็นบ้า เพราะ เห็นเธอมองตาผม แล้วยิ้ม หวัว เป้นเชิงสัพยอกก่อนที่ จะพยักพเยิด ไปทาง โต๊ะเล็กที่ หัวเก้าอี้
"Please take some ice in that bowl to rub my back with."	"ช่วย เอาก้อน น้ำ แข็ง ในขันนั้น ถูหลัง ให้ที เถอะ "
I got up and fetched the metallic bowl, chose a chunk of ice that fitted my hand and placed its smoothest side on her firm, pulpy back, which I went about stroking at length.	ผมลุกไป หยิบ เอามันมา ทั้งขันลงหิน เลือก เอาก้อนที่เหมาะมือ และ เอาทาง ด้านที่เรียบที่ถู ไปตาม เนื้อหลัง อัน อิ่มอวบ และหนั่นของเธอ
She complained about the bathtub she had ordered but was still waiting for and said that as soon as it arrived, she meant to lie immersed in it for ages.	เธอบ่นเรื่องอ่างอาบ น้ำที่ สั่ง เอา ไว้ แต่ ยัง ไม่ ได้มาสักที และบอกว่าถ้า ได้มา แล้วเธอ ตั้ง ใจ จะลง ไปนอนแช่ น้ำ เล่น ให้ชุ่ม ยังไร
Almost all of her personal items such as clothes, shoes and miscellaneous accessories, including books, she bought on order.	ของใช้ของเธอล้วน แต่ เป็นของ " สั่ง" มาแทบ ทั้งนั้น ไม่ว่า จะเป้น เสื้อ ผ้า รอง เท้า ของ ใช้กระจุกกระจิก รวม ทั้ง หนังสือต่างประเทศ ด้วย
At first, I wondered which shops she ordered them from, because deliveries were seldom on time.	ทีแรกผม ก็ ไม่ เข้า ใจว่าเธอ สั่งจาก ห้าง ไหนร้าน ไหน มัน ถึง ได้ ไม่ค่อย จะมาทัน ใจ
I learned later that everything came from Penang and Singapore.	ภายหลังผมจึงทราบว่าเป็นของ สั่งมาจากปีนัง และสิงคโปร์
After complaining for a while, she closed her eyes, allowing me to concentrate on her back to better effect and wider wandering.	เธอพูดบ่นอยู่สักครู่ แล้ว ก็ หลับตา นิ่ง ไป ปล่อย ให้ผม ใจจด ใจจ่อ อยู่กับ แผ่นหลังของเธอ ได้ ถนัดถนี่ และฟุ้งสร้าน ได้ดียิ่ง ขึ้น
At first I used only one hand rather daintily, not daring to let it touch her skin, a privilege I left to the piece of ice.	แรกผม ก็ ใช้มือเดียวอย่าง หยิบโหย่ง โดยที่ ไม่ค่อย จะกล้า ให้มือ ถูกต้อง เนื้อ ซึ่งก้อน น้ำ แข็งดู จะมีสิทธิ เต็มที่ อยู่ตามลำพัง
But when the ice began to melt, I decided to use my other hand to wipe the trails of water, and when the hand that held the ice went numb with cold, I changed hands and kept alternating their respective tasks.	ครั้นน้ำ แข็งละลายเนืองนอง ผมจึง เอา อีกมือ ช่วยปาดเช็ด ให้ พอมือที่กุมก้อน น้ำ แข็ง ชัก จะ เย็นชา ผม ก็ ให้มันสลับหน้าที่กัน เสียที
After three chunks of ice had melted away, the hand that wiped the water slid down to one of her breasts, which bulged out on either side of her from the weight of her body.	และพอ น้ำ แข็งหมด ไป ได้สักสามก้อนมือข้างที่ทำหน้าที่ปาดเช็ด ก็ ไล่ลง ไป ถึงเตงเต้าที่ล้นปรี่เพราะ ถูกทับออก ทั้งสองข้าง ตัว
Though my hand was frozen, the touch was like a jolt from heaven.	แม้มือ จะ เย็นชา มันก้รู้ สึก ได้ ถึงสัมผัส อันราว ได้กับ กระทบของทิพย์
Finally, I couldn't stand it any longer.	ท้ายที่สุดผม ก็ เหลือที่ จะทนทานต่อ ไปไ-ด้หวัด ไหว
I pulled out and tightly clasped her back on both sides.	ผมยั้งมือเอา ขึ้นกำ ไว้ เหนือหลังของเธอ ทั้งสองข้าง
I knew what would happen to my body if I persisted in touching and watching her for just a little longer.	ผมรู้ตัวว่าถ้า ขืน แต่ะต้อง และพิศดูเธอต่อ ไป อีกนิดเดียว อะไรมัน จะเกิด ขึ้น แก่สรีระของผม
I raised my clenched fists and shut my eyes tight.	ผมยกมือขึ้นกำ ไว้ และ หลับตา แน่น
What an exquisite, tantalising torment!	มันช่างเป็นเรื่อง ทรมาทรกรรมที่แสน จะน่าติด เนื้อต้อง ใจ เสียนี่กระไร
O God Almighty!	คุณพระคุณ เจ้า ช่วย !
And you, angels!	ผีสางเทวดา !
And you, spirits of all ilk, help me!	ผีบ้านผีเรือน !...
What had happened?	มันเรื่องอะไรกัน....
What had inspired her to allow me to see and touch every inch of her naked body?	อะไรกันที่มันดลใจ ให้เธอยอม ให้ผมแตะต้อง และมอง เห็น เนื้อ เปล่าของเธอ ได้ทุกขุมขน
But then why, on the strength of it, wasn't I inspired to dare do what I was dying to?	ก็ แล้วอะไรอย่างเดียวกันนั้น แหละ ทำไมมัน ถึง ไม่ดล ใจ ให้ผมกล้าทำอะไรลง ไปอย่างที่ ใจ อยาก ใคร่
To hell with it all!	อะไรก็ช่างมัน!
One day, maybe, if there was going to be such a wonderful day - or so did my wishful heart answer anyway.	คงจะสักวัน หนึ่ง หรอกน่ะ ถ้า มัน จะ ยังมีวัน วิเศษ ยังนี้ อยู่ต่อ ไป...นี่ เป็น ถ้อย ความที่ ใจภาวนาของผมมันตอบ เอง
I don't know how long I sat with eyes closed and fists clenched until I heard Mrs Bunlueang's drowsy voice say: "Well, Jan, that'll do for today.	ผมนั่ง หลับตากำมือ อยู่ ยังนั้น นานสักกีมาก น้อย ก็ เหลือที่ จะทราบ ก่อน จะ ได้ยิน เสียงง่วงๆ ของคุณ บุญเลื่องเอ่ย ขึ้นว่า " เอาละ - พ่อจัน วัน นี้ พอกันที
Thanks."	ขอบใจนะ "
Strangely enough, her order to stop, instead of disappointing me, made me feel overwhelmingly relieved.	น่าประหลาดที่คำบอกเลิก ของเธอ แทนที่ จะทำ ให้ผมอาลัย กลับทำ ให้ผมโล่ง ใจจนแทบ จะลิงโลด
I stood up and left the room immediately, almost before I thought of opening my eyes.	ผมลุกขึ้นออกจากห้องเดี๋ยวนั้น ทันทีแทบก่อนที่ผม จะ คิด ลืมตา เสีย อีก แล้ว กลับลง ไปข้างล่าง
I went back downstairs to sit in the library in order to calm down and enjoy digesting that most enthralling experience.	ลงมานั่งสงบสติ อารมณ์ อยู่ที่ห้อง สมุด และบดย่อยประสบการณ์ อันทรงเสน่ห์อย่างแสนมหานั้น เป็นที่เพลิดเพลิน อยู่
If I may borrow a foreign phrase to describe my state then, I was like a dog licking its wound with relish - the wound caused by the painful knowledge that, no matter how long I would stay, I wouldn't dare to do what my heart so desperately hankered for.	ลักษณาการที่มาอยู่โดดเดี่ยวของผม ในตอนนี้ พอ จะยืมสำนวน ฝรั่งมาอุปมา แบบประยุกต์ ได้ว่า เหมือนสุนัขหลบมาเลียแผลของ ตัว อยู่อย่างเอร็ดอร่อย....แผล อันเกิด จากการ เจ็บ ใจกรายๆ ที่รู้ ตัวดีว่า ถึง จะ อยู่นานต่อ ไปสัก เท่าไรกำลังนั้น ก็คง ไม่กล้าทำอะไรลง ไปตามที่ ใจ อยาก ใคร่จนเจียน จะ เสียสติ
And it was for this reason that I felt so relieved to be able to escape that torment.	และ ก็เพราะเหตุ นี้ แหละ ผมจึงแทบ จะลิงโลดที่พ้นๆ ทรมานมา เสีย ได้...
It was better than bearing it, fully aware that nothing would come out of it in the end.	ดีกว่าจะต้องทน อยู่ ไป ทั้งๆ ที่รู้ ดีว่า ปลายทางมันด้วน
In any case, I didn't forget that her parting words had left me with a comforting hope.	ถึง ยังไรผม ก็ ไม่ ลืมว่า คำบอกเลิก ของเธอ ยัง ได้ ฝาก ความหวัง เอา ไว้ ให้ เป็นที่อุ่น ขวัญ
"For today" meant that there would be another day, a wonderful day which I had a hunch would come sooner or later.	วันนี้ พอกันที... ก็ เป็น อันว่าวัน หน้า ยัง จะมี อีก วัน อันวิเศษ ซึ่งผม ให้นึก สังหรณ์ว่า จะสม ใจ เข้าสักวัน
Less than seven days went by before the second wonderful occasion came to be.	หลังจากนั้นไม่ ถึงเจ็ดวัน ก็ ถึงวัน อันวิเศษหนที่สอง
This time I was a little bit more daring.	หนนี้ผมค่อยกล้า ขึ้นเล็ก น้อย...
After four chunks of ice had melted, I told her, "Please allow me."	พอน้ำ แข็งละลาย ไป ได้สี่ก้อน แล้วผม ก็บอก "ผมขออนุญาตครับ "
She asked idly: "Allow what?"	เธอถามโดย ไม่สน ใจว่า "ขออนุญาตอะไร"
Instead of answering, I grasped the edge of the rattan couch on both sides and buried my face against her plump back, which was as cold as marble.	แทน คำตอบ - ผมวางมือลง ยึดขอบเก้าอี้หวาย ทั้งสองข้าง แล้วแนบหน้าลงกับ เนื้อหลัง อันอวบ และ เย็น ยังกะหินอ่อนของเธอ
Mrs Bunlueang jerked, then laughed and said: "Your face's real hot."	คุณบุญเลื่องสะดุ้ง แล้ว หัวเราะ ว่า " หน้าเธอร้อน เหมือน จะตาย "
I kissed her back all over without saying a word.	ผมจูบและเกลือกต่อ ไป โดย ไม่พูดจา
She let me do as I pleased for a while and then told me to go.	เธอปล่อยตามใจผมสัก พักหนึ่ง แล้ว ก็บอก ให้ผม ไป ได้
Though her tone was as even as usual, this time there was no bonding word like "today" and it made me feel deeply sorry and sad before I pulled back and left.	ถึง น้ำ เสียงที่พูด จะเรียบๆ เหมือน เช่นเคย แต่คราวนี้ ไม่มีเยื่อใยอะไรอย่าง คำว่า "วัน นี้ " อีก มันทำ ให้ผม ใจ เสีย และอาลัยอาวรณ์ยิ่ง นักกว่า จะถอน ตัวออกมา ได้
I avoided her for three or four days and even when I returned to stay with her in the library as before, I was still embarrassed and dared not meet her eyes.	ผมไม่กล้า เข้าหน้าเธอ อยู่สามสีวัน จนเมื่อ กลับ ไป เข้าห้อง สมุด อยู่กับ เธอ อีกตามเดิม ใน คืนต่อมา ผม ก็ ยัง ไม่วายเจื่อน และ ไม่ค่อยกล้าสบหน้าเธอนัก
That night, the heat was oppressive.	คืนนั้น อากาศอ้าวจัด
She kept fidgeting for a long while and finally put down her book, got up and went into the bathroom.	เธอกระสับกระส่ายอยู่ พัก ใหญ่ ที่ สุด ก็วาง หนังสือ แล้วลุกออก ไปห้อง น้ำ
A moment later, she was back, no longer wearing her thin, flower-patterned blouse.	หลังจากนั้นสักครู่ ก็ กลับมา เสื้อดอกบางๆที่สวม อยู่เมื่อกี้หาย ไป
Instead, she had retied her sarong over her bosom.	โสร่งที่นุ่งอยู่เลื่อนชาย ขึ้นกระโจมอก
Her body was wet and the cloth damp.	เนื้อ ตัว เปียก และชุ่ม ผ้า
She didn't resume her reading, but told me to follow her upstairs.	เธอไม่ ได้ กลับมา อ่าน หนังสือต่อ เธอมาบอก ให้ผมตามเธอ ขึ้น ไป
"Don't turn off the light," she instructed and left without waiting for me.	"ไฟเปิด ทิ้ง ไว้อย่างนี้ แหละนะ" เธอ สั่ง เสีย แล้วผละ ไปก่อน
I was so excited I hardly knew what to do.	ผมตื่น เต้น เสียจนเงอะงะแทบ จะทำอะไร ไม่ ถูก
I walked into the events that followed as if I were sleepwalking.	และผ่าน เข้า สู่เหตุ การณ์ ต่อ ไปนั้น เหมือนคนละเมอ
She was lying prone with her face on her arm as usual, waiting for me.	เธอนอนคว่ำเอาหน้า หนุนท่อนแขนรอ อยู่อย่างเคย
Her sarong was now almost down to her coccyx, leaving her white, tapering back exposed.	โสร่งที่เปิดหลังขาวฉ่อง ไว้ ให้นั้น ร่น อยู่เกือบ ถึงก้นกอย
This time, after more than half of the first piece of ice had melted, I made it slip out of my hand and it went to nestle beneath one of her breasts.	หนนี้พอ น้ำ แข็งก้อนแรก ละลาย ไปกว่า ครึ่ง ผม ก็ทำมันหลุดลื่น เข้า ไป ใต้ทรวงข้างหนึ่ง ของเธอจน ได้
She raised herself up a little to allow me to retrieve it, but my hand deserted its task instantly to grab hold of warm flesh in a greedy grope.	เธอเผยอตัว ให้ผมตาม เอา คืน แต่มือข้างนั้น ของผมมัน ทิ้งงาน เสียกลางคัน และกอดกุมเธอ ไว้ เต็มกำ
At the same time, I was slobbering all over her back and outpouring all that was hidden in my heart.	พร้อมกันผม ก็จูบเกลือกหลังเธอ อีก และรำพัน ความ ใน ใจออกมาอย่างหมดเปลือก
She let me do as I wanted for a while, like she had the first time, and then - at first, I thought she was struggling to free herself, but she was merely turning to lie on her back to have a full view of me.	เธอปล่อยตามใจผมครู่หนึ่ง เหมือนคราวก่อน แล้ว... ทีแรก ผมนึก ว่าเธอดิ้นรน แต่ที่ จริงเธอขยับ ตัวเพื่อ จะพลิกหงาย ขึ้น แล้วมองผม เต็มตา
Her face looked at once fearful and serene.	สีหน้าของเธอเหมือนนางพรายกับ แม่พระระคนกัน
From then on, I was even more of a sleepwalker.	...จากนั้นผม ก็ยิ่ง เหมือนคนละเมอหนัก ขึ้น อีก
Everything that happened before my eyes became blurred and, at first, left me no chance to recover my composure.	เหตุการณ์ มันผ่านหน้าตาของผม ไปอย่างรัวราง เต็มที จนผม ไม่มี โอกาส จะ ตั้งสติ อารมณ์ ได้เลย ในหนแรก
I only knew that I was mingling with heaven.	ผมรู้แต่ว่าผมกำลังคลุกคลี อยู่กับ ฟ้าสวรรค์
The part I remember most vividly was when- Has it ever happened to you?	และตอนที่จำ ได้แม่นยำยิ่ง นัก ก็คือ...คุณ เคย ไหม
being jolted by a searing pain as you slide your foot into a shoe and a scorpion stings your big toe?	ตอนหยิบรอง เท้ามาสวม พอสอดสวม เข้า ไป ก็ ถึง แก่สะดุ้งวาบ ไป ทั้ง ตัวเพราะโดนแมงป่องมันต่อย หัวแม่ เท้า เอา ปวดแปล เข้า ไป ถึง ไหนต่อ ไหน
The jolt I received from Mrs Bunlueang's sting was of the same magnitude, except that it resulted in no end of amazement and delight.	ของคุณบุญเลื่อง ก็ต่อย เอาผมสะดุ้ง ไป เหมือนกัน ต่างกัน แต่ เป็น ความสะดุ้งเพราะอัศจรรย์ ใจ และเอมโอ เสียนี่กระไรเลย
When I had followed her upstairs, it was about eleven at night, and when I returned alone to the soft light of the library it was about two in the morning.	เมื่อตอนที่ผมลุกขึ้นตามเธอ ขึ้น ไปข้างบนนั้น เป็น เวลาราว ห้าทุ่ม และเมื่อผม กลับลงมาหาแสง ไฟเปลี่ยวๆ ในห้อง สมุด อีก ครั้ง หนึ่ง ตามลำพังนั้น เป็น เวลาตีสอง
Thoroughly perplexed and gratified as I was, I kept wondering whether it hadn't all been a dream, even though it was still so vivid to my eyes and tangible to my body.	ทั้งที่ ก็แสน จะอ่อน ใจ และปลาบปลื้ม อยู่ ยังกะอะไรดี ผม ก็ ยังอดถาม ตัว เองซ้ำๆ ซากๆ อยู่ ไม่ ได้ว่า ฝัน ไปหรือ เปล่า ทั้งที่ ก็ ยังติด ตัว และติดตา อยู่เลย -
I kept suspecting that every feature of her whole body, nearly every nook and cranny I had seen and touched just now after having dreamt of it for years, was but a figment of my imagination.	ลักขณาของสรรพางค์เธอ แทบว่าจะทุกขุมขนที่ ได้สัมผัสมาหยกๆ หลังจากที่ใฝ่ ฝันมา เป็น แรมปีผม ก็ ยังอดระแวง ไม่ ได้ว่า เป็น ความ ฝันหรือ เปล่า
By the time I recovered my calm enough to be certain of where I stood, it was past three in the morning.	กว่าผมจะสงบอกสงบ ใจลงจนทำ ความตระหนัก แน่ แก่ ใจ ได้ เวลา ก็ล่วง เข้าตีสาม
I got up, closed all the windows, turned off the light, then left the room, closed the door and made straight through the trees for home.	ผมลุกขึ้นจัด แจงปิดหน้าต่างจนหมด และดับ ไฟ แล้วออกมาปิดประตูหน้าห้อง จากนั้น ก็ออก เดินลัดเลาะสุมทุม กลับ ไป เรือน
As I reached the staircase leading to my room, I suddenly remembered an important scene, and only then did I understand its full significance.	และ ไปจน ถึงหน้าบันได จะ ขึ้น เรือน อยู่ แล้วผมจึง ได้นึก ถึงภาพการณ์ ตอน สำคัญตอนหนึ่ง ขึ้นมา ได้ และเพิ่ง จะ เข้า ความหมายของมัน ได้ ถนัดถนี่ ในตอนนี้ เอง...
My legs felt so weak I had to sit down on the steps.	ผมถึง แก่เข่าอ่อนจนต้องทรุดลง นั่งกับ ขั้นบันได
Before I left her room, I had turned to have a last look at her.	ตอนนั้น...ก่อน จะออกประตูจากเธอมา ผม ได้เหลียว ไปมองเธอ เต็มตา อีก ครั้ง
Her milky white body was still stretched languidly on the rattan couch.	เรือนกาย ซึ่งขาว เหมือนหยวกของเธอ ยังคงทอดระทวย อยู่กับ เก้าอี้หวายนั้น เอง
Right then, she opened her eyes and held my gaze.	เธอลืมตา ขึ้นสบกับ ผมพอดี
She burst into a smile as if to give me the friendliest greeting in the world.	และยิ้ม แย้ม เหมือนทักทายอย่างกัน เองที่ สุด ในโลก
Then and there I was choked up with a rapturous emotion so priceless and intense I couldn't possibly keep it to myself.	บัดนั้นเองผม ก็บังเกิด ความรู้ นสึกตื้นตัน ใจ ขึ้นมาอย่างใหม่ เอี่ยมเป้น ความรู้ สึกที่มีคุณ ค่า และ แรงกล้าจน สุดที่ จะ เก็บงำ เอา ไว้คนเดียว ได้
I went back to her, knelt down by her couch, raised my joined hands and prostrated myself onto her generous bosom, which was soaked in sweat.	ผมหวนกลับ ไปหาเธอ คุกเข่าลงข้างเก้าอี้ของเธอพนมมือ ขึ้น แล้วกราบลงกับ เนินอก อันพูนสล้าง และ ซึมเหงื่อของเธอ
"Oh dear!" Mrs Bunlueang moaned, and hugged my head.	คุณบุญเลื่องออก เสียงครางว่า "โธ่ ..."
I embraced her body tightly and tears came to my eyes from a sweeping feeling of contentment.	แล้วกอด หัวผม ไว้ข้างผม ก็กอด ตัวเธอ ไว้ แน่น และรำๆ จะ น้ำตาไหล เสีย ให้ ได้ ด้วย ความ อิ่มเอิบที่ถั่งท้น ขึ้นมา
Then I heard her whisper: "You know-let me tell you something - I've been thinking of leaving your father - He - that is, I - But now, I don't think so any longer - thanks to you.	แล้วผม ก็ ได้ยิน เธอกระซิบกระซาบว่า "รู้ ไหม... จะบอกอะไร ให้...ฉันกำลังนึก จะเลิก กับ คุณ พ่อเธอ อยู่ แล้ว... เขา...ฉัน... แต่นี่ฉันเลิก นึก ยังนั้น แล้วละ...เธอ ช่วยฉัน ไว้มากทีเดียว...
You're a young man now, a real man, you understand?	เธอเป็นหนุ่ม แล้ว เป็น ผู้ ใหญ่ แล้วรู้ ไหม...
Now, I have to rely on you..."	เธอต้องเป็นที่พึ่ง ให้ฉันนะ...
As I recalled her words, I felt stunned: had I been slow in making a move, Mrs Bunlueang may well have left before I could fulfil my dream!	นึกถึง ถ้อย คำของเธอ ขึ้นมา ในตอนนี้ ผม ก็ ใจหาย นี่ถ้า ผมตัด สิน ใจช้า ไป เธอ ก็อาจ จะ ไปจากที่นี่ เสียก่อนที่ผม จะทัน ได้สมปรารถนา
She hadn't told me why she was thinking of leaving His Lordship, but I already knew, and I had steadfastly committed myself to make good her hope of relying on me, because I was already determined to repay my debt of gratitude to her with my life.	เธอไม่ ได้บอก ถึงสาเหตุ ที่ คิด จะเลิก กับ คุณ หลวง แต่ผม ก็รู้ ดี และ ได้รับ ปากกับ เธอ ไว้ เป็นมั่น เหมาะ ในเรื่อง ที่เธอหวัง "พึ่ง " ผม เพราะผม เอง ก็ ตั้ง ใจ จะสมนาคุณ เธออย่างถวายชีวิต อยู่ แล้ว
For all that, I came to realise how close I had been to losing the opportunity of knowing her in this life, and this is why I was feeling weak-kneed.	ถึงกระนั้น ผม ก็เพิ่ง จะ ได้สำนึก ขึ้นมา จริงๆ จังๆ เดี๋ยวนี้ เองว่าเกือบ จะคลาดกับ เธอ เสีย แล้ว ในชาตินี้ ก็นี่แหละที่ทำ เอาผม ถึง แก่ หัวเข่าอ่อน
That night, my thoughts were such a jumble that I couldn't sleep.	คืนนั้น ผมฟุ้งซ่าน เสียจนนอน ไม่ หลับ
The next day, I was informed by the district office that my name was on the conscription list and on such-and-such a year I'd be drafted into the army.	และรุ่ง ขึ้นผม ก็ ได้รับ แจ้ง จากทางอำเภอว่า ผม ได้ ขึ้น อยู่ ใน ทะเบียน ทหาร แล้ว และ อีก เท่านั้น เท่านี้ ปี ผม จะต้อง ไปรับ การ เกณฑ์
That's how I remember I was seventeen when I passed through the triumphal arch with masculine pride, as signed and certified by Mrs Bunlueang.	เพราะอย่างนี้แหละผมจึง ได้รู้ และจำ ได้แม่นว่าผมอายุ ๑๗ บริบูรณ์ แล้ว ในตอนที่ ได้ลอดประตูชัยอย่างสมศักดิ์ศรีของบุรุษ เพศ โดยมีคุณ บุญเลื่อง เป็น ผู้รับ รองอย่าง แข็งขัน
