mad dogs & co	พันธุ์หมาบ้า
If I stay here, I'm afraid I'll end up with sweet fuck all."	ขืนอยู่กูคง จะ เหลือ แต่กล้วยกับ รอยยิ้ม เท่านั้น เอง"
Otto smiled at his friend, raised his glass and watered his inner self.	อ๊อดโต้ยิ้ม กับ เพื่อน ยก แก้ว เหล้ากรอกเติม ให้ ตัว เอง
"Why don't you stay here and keep me company?	"ก็ อยู่ เป็น เพื่อนกันก่อนซี้
Stay until we're both left with sweet fuck all."	อยู่ ให้แม่- ง เหลือ แต่กล้วย จริงๆ "
Chuanchua laughed, the fish meat inside his mouth showing.	ชวนชั่ว หัวเราะ เห็น เนื้อปลา อยู่ ในปาก
Otto stopped to think for a while, but he did not say yes yet.	อ๊อดโต้ชะงัก คิด อยู่นิดหนึ่ง แต่ ไม่ ได้ตกปากรับ คำ อัน ใด
In his mind, he was thinking of the fun awaiting him if he stayed here to keep Chuanchua company.	ใน ใจ คิด ถึง " ความมัน" ที่รอ อยู่ภายหน้า ถ้า เขา อยู่ เป็น เพื่อนชวน ชั่ว
"Did you stop by to see Samlee on the way here?"	"เมื่อเช้ามึงแวะหาไอ้สำลีรึ เปล่า ? "
he asked.	อ๊อดโต้ถาม
"Yes.	"แวะ
He said he'll come over after work."	มันว่าเลิกงาน แล้ว จะมา"
"Don't believe that fucker.	"เชื่อมัน ไอ้เหี้ย
He'll be here right after noon.	เดี๋ยวบ่ายๆ แม่- ง ก็มา แล้ว
He won't be able to stand it, trust me."	มันทนไม่ ไหวหรอก"
Otto sounded confident.	อ๊อดโต้มั่น ใจอย่างนั้น
"He stops work at ten.	" ...งานแม่- งกว่าจะเลิก ตั้งสี่ทุ่ม
If he can wait till his work's over, then you may kick my ass."	ถ้ามันคอย ไหวกู ให้เตะ"
"At ten?"	"เลิกสี่ทุ่ม"
Chuanchua repeated the words as if he did not believe what he heard.	ชวนชั่วทวน คำอย่าง ไม่ เชื่อ
"What time does he start, then?"	"แล้ว เข้ากี่โมง"
"Nine in the morning."	"สามโมงเช้า"
"What kind of a fucking work is that?	"งานห่าอะไรหนักขนาดนั้น
Thirteen hours a day!" Chuanchua poured himself another glass.	เกิน ไป" ชวน ชั่วริน เหล้า แก้วใหม่
"Yeah, but it's a cool job.	"เฮ้ยแต่งานมัน สบายนะ
He stays in an air-conditioned room all day long, watching and taping videos.	อยู่ ในห้องแอร์ ทั้งวัน วัน ๆ ดู แต่วีดีโอ อัดวีดีโอ
I used to go and lie in his shop to watch blue movies.	กูยังเคย ไปนอนดู หนังโป๊ที่ร้านมันเลย
Cool.	สบาย
No sweat really.	ไม่หนัก หรอก
The only sore point is, the bugger has little time left for boozing."	แต่แม่- งแย่หน่อย เวลากิน เหล้าแม่- งมี น้อย เท่านั้น แหละ"
His voice sounded full of sympathy.	น้ำ เสียง ฟังดู เต็ม ไป ด้วย ความ เห็นอก เห็น ใจ
"How long has he been running this shop?"	"มันมาทำร้านนี้นานหรือ ยัง ? "
"About three or four months.	"สามสี่เดือน ได้ แล้วมั้ง
Didn't you know?"	มึงไม่รู้ เหรอ ? "
"Nope."	"ฮึ"
"Then how did you know he was at that shop?"	"อ้าวแล้วมึงรู้ ได้ไงว่ามัน อยู่ที่ร้านนั้น ? "
Otto asked as he started to mix himself another drink.	อ๊อดโต้ถาม ขณะชง เหล้า แก้วใหม่ ให้ ตัว เอง
"I wrote to him at his place to say I was coming.	"กูจดหมายไปหามันที่บ้าน บอกมันว่ากู จะมา
He wrote back telling me to drop by his shop when I came.	มันตอบจดหมายกูว่าถ้าจะมา ให้แวะหามันที่ร้านก่อน
He even drew me a map.	มันเขียน แผนที่ ให้ ...
Why did he quit his old job?"	ทำไมมันออกจากอมท . ซะละ? "
Chuanchua's gaze was on Otto, who was pouring soda into his glass.	สายตาของชวนชั่วจับ อยู่ที่อ๊อด โต้ เขากำลังรินโซดาลง ใน แก้ว
"How would I know?	"ไม่รู้ มัน
He didn't tell me nothing.	ไม่ เห็นมัน เล่าอะไร
I only knew his boss was gonna open a video shop."	กูรู้แต่ว่าเจ้า นายมัน จะเปิด ร้านวีดีโอ "
He raised his refilled glass and took a long draft, then put the glass down.	เขายก เหล้า แก้วใหม่ ขึ้นดื่มอึก ใหญ่ แล้ววางลง "
"Seeing that he looked fierce, his boss offered him the job to look after the shop.	...เขา เห็นหน้าตามันดุดี เขาเลยชวนมันทำ คอย คุมงาน ในร้าน
Fancy that: the bugger got lucky just because of his face."	... แม่- งได้ดีเพราะหน้าแท้ๆ "
Otto laughed softly.	อ๊อดโต้ หัวเราะ เบาๆ
Chuanchua guffawed.	ชวนชั่ว หัวเราะ
"Hey, but he's a real movie buff, you know.	"เฮ่ยแต่มันดู หนังเก่งนะมึง
When we were at school together, he was always sneaking out to watch movies.	สมัยเรียน ด้วยกัน มันหนีเรียน ไปดู หนังประจำ
When he was back, he'd tell us what they were about, and he made them sound better than they were."	กลับมา เล่า ให้พวก กู ฟัง มัน เล่าดีกว่า หนัง อีก" ชวน ชั่ว เล่า ถึงอดีต
"But now he's had it with'm.	"เดี๋ยวนี้มันเบื่อ แล้ว
He doesn't want to watch'm any more.	มันไม่ อยากดู แล้ว
He sees them all day long and he has more'an he can take."	วันๆ แม่-งดูจนตาแฉะ"
Otto laughed.	อ๊อดโต้ หัวเราะ
"When his work's over, the blighter gets himself blotto night after night.	" ... เลิกงานแม่-งเมาลูกเดียว
Think about it: he stops work at ten, and as soon as he's out, he has to drink in a hurry because there's so fuckin' little time and he' s afraid he won't get drunk.	มึงคิดดู เลิก งานสี่ทุ่ม ออกมา ก็ต้องรีบกิน แล้ว เพราะ เวลาแม่-ง น้อยกลัว ไม่เมา
By the time he's plastered, it's two or three in the morn' so he goes back home to sleep.	กว่าจะเมา ก็ตีสองสาม กลับบ้าน ไปนอน
He wakes up early to go to work.	ตื่นเช้า ก็ต้อง ไปทำงาน
So, the twit has a hangover all day because he sleeps so little.	แม่-งแฮ้งก์ทั้งวัน เพราะ เวลานอนแม่-ง น้อย
If he had to dig trenches under the sun for a living, he'd be dead by now!" Otto stressed the word "dead".	ถ้ามันต้องทำงานขุดดินตาก แดดละ ก็ตาย ! " อ๊อด โต้เน้น เสียง " ตาย !"
It sounded horrifying.	ฟังสยอง
"Why?	"ทำไมวะ
What's he worried about that he guzzles so much?"	มันกลุ้มห่าอะไรนักหนาถึงแดก ขนาดนั้น ? "
"Worried my ass!	"กลุ้มกล้วยอะไร
Guys like us 've got nothing to worry about.	พวกเรามีเรื่อง อะไร ให้กลุ้ม
The fucker used to be crocked like clockwork in the old days, but now he's better because he listens to his doctor."	พักก่อนแม่-งเมาแหกประจำ พักนี้ ยังดีแม่-ง เชื่อหมอ"
"His doctor warned him off, did he?"	"หมอเตือนมันเหรอ ? "
"Yeah.	"เออ
In the past, he had so many accidents riding under the influence even his damn bike got fed up with him.	เมื่อก่อนมันเมา ขี่มอเตอร์ไซค์ล้มจนมอเตอร์ไซค์แม่-งเบื่อ
Have you seen his face lately?	มึงดูหน้าตามันเดี๋ยวนี้สิ
It's full of scars.	แผลเป็น เต็ม ไปหมด
His damn moustache is like a retired loo brush.	หนกหนวดแม่-งแหว่งกระจุย
He used to have this handsome handlebar of a moustache, all black, but now it's as scruffy as the hair of a mangy mutt.	เมื่อก่อนหนวดแม่-งสวยดำเป็นแผง เดี๋ยวนี้ หนวดแม่-งแหว่ง เป็นหมาขี้เรื้อน...
Each time he'd go to the clinic, the doctor would ask, 'Back again?'" Otto laughed.	เวลามัน ไปหาหมอ หมอ เขาถามมัน "มา อีก แล้วเหรอ"... " อ๊อด โต้ หัวเราะ
"And what did the doctor warn him about?"	"แล้วหมอ เขาเตือนมันว่าไง ? "
"The doctor gave him a choice.	"หมอเขาแนะนำ มันสิ
He told him he'd better give up drinking.	เขาบอก ให้มันเลิก เหล้าซะ
If he couldn't do that, then he should give up riding his motorcycle.	ถ้าเลิก เหล้า ไม่ ได้ ก็ ให้เลิก ขี่มอเตอร์ไซค์
One or the other - so the fucker gave up riding his bike."	เลือก เอาอย่างหนึ่ง ... แม่-ง เลือกเลิก ขี่มอเตอร์ไซค์ "
Otto smiled.	อ๊อดโต้ยิ้ม
Chuanchua laughed.	ชวนชั่ว หัวเราะ
"You too have taken tumbles on your bike, haven't you?"	"มึงก็เคยล้ม ไม่ใช่เรอะ ? "
Chuanchua said, smiling.	ชวนชั่วพูดยิ้ม ๆ
"For fuck's sake!	"กล้วย
In my case, it's happened once in a while.	ของกูนานๆ หนโว้ย
I'm just an amateur tumbler, you know, not a pro."	กูมันพวกล้ม สมัคร เล่น ไม่ใช่พวก ล้มอาชีพ"
Otto laughed.	อ๊อดโต้ หัวเราะ
"How did you know?"	"มึงรู้ได้ไง? ..."
"I know - that's all."	"รู้แล้วกัน"
Chuanchua smiled knowingly.	ชวนชั่วยิ้ม อย่างมีนัยแฝง
"Who the hell told you?"	"ใครบอกมึงวะ? "
He looked his friend in the face, waiting for an answer.	เขามองหน้า เพื่อน คอย คำตอบ
"Lit'l Hip once told me."	"ไอ้เล็กฮิปมันเคยเล่า ให้กู ฟัง"
Chuanchua smiled.	ชวนชั่วยิ้ม
From his smile, it was as if he meant to tell his friend, "I know what you were up to".	ยิ้มของ เขาคล้าย จะบอก เพื่อนว่า "กู ก็รู้ น่าว่ามึงเคยทำอะไร ไว้"
"What's he doing now?"	"ตอนนี้มันทำอะไร อยู่? "
"He's gone back to his home in Chainart."	"มันกลับ ไป อยู่บ้านที่ชัยนาท แล้ว"
Chuanchua took the tongs and picked up chunks of ice, filling his glass to the last chunk.	ชวนชั่วคีบ น้ำ แข็ง ใส่ แก้วจนก้อน สุดท้าย
He lifted the bucket of ice and called the waiter over.	เขาชู กระป๋อง น้ำ แข็ง ขึ้นพลางเรียก เด็ก ในร้าน
"What the hell for?	"ทำไมวะ
Such a prick!	ไอ้หัวกล้วยเอ๊ย
What's he gonna do for a living over there?"	มันจะ ไปทำอะไรกิน วะที่บ้านมัน?"
"There's no one to help there, so he went back to take care of his parents.	"ทีบ้านมันไม่มีคน อยู่ มันเลย กลับ ไปดูแม่กับ เตี่ยมัน
His pa isn't well."	เตี่ยมันไม่ค่อย สบาย"
"What's the matter with him?"	"เตี่ยมันเป็นอะไร? "
"He's allergic to pork."	"เป็นโรคแพ้ขาหมู "
Chuanchua laughed.	ชวนชั่ว หัวเราะ
"It's true, you know!"	"...จริงๆ นะมึง"
"What a fuckin' disease - allergic to pork!	"โรคเหี้ยอะไร โรคแพ้ขาหมู
Never heard that one before," Otto said with a smile.	กูเกิดมา ไม่เคย ได้ยิน " อ๊อด โต้พูดยิ้ม ๆ
"His pa used to eat pork a lot, boiled pig's leg, you know, fat and all.	"เตี่ยมันกินขาหมูมาก
The doctor said he had a built-up of fat in his arteries that left him partly paralysed.	หมอเขาว่าไขมันอุดตัน ใน เส้น เลือด เป็นอัมพฤกษ์
Lit'l Hip told me his pa ate pork at every meal.	ไอ้เล็กฮิปบอกเตี่ยมันกินทุกมื้อ
He had it cooked at home.	ต้มติดบ้านไว้เลย
His pa's grown pale now.	ตอนนี้เตี่ยมันซีด แล้ว
The doctor ordered him to give up eating it," Chuanchua said, making the story sound amusing.	หมอเขา ห้าม ไม่ ให้กิน " ชวน ชั่วพูด เห็น เป็นเรื่อง ขบขัน
"Did he take him to the Krabork cave to wean him from the habit?"	"พาไปอดที่ถ้ำ กระบอกรึ เปล่า? "
Otto added.	อ๊อดโต้เสริม
"Sure, but he hasn't fully recovered yet.	"เออแต่ ยัง ไม่หายขาดทีเดียวนะมึง
Lit'l Hip told me his pa still cooked pork and offered it to the monks everyday.	ไอ้เล็กมันบอกเตี่ยมันต้มใส่บาตรทุกวัน
I think he's planning to eat pork again in his next life."	กูว่าคงกะเอา ไว้กิน ชาติหน้า ด้วย"
He received a bucket of ice from the waiter and mixed himself another drink.	เขารับ น้ำ แข็งจาก เด็ก ในร้าน แล้วชง เหล้า แก้วใหม่
"I bet that before he offers it to the monks, he must sniff at it for sure," Otto ventured and laughed.	"สงสัยก่อนใส่ต้องดมก่อนแหงเลย " อ๊อด โต้ ตั้งข้อ สังเกต พร้อม เสียง หัวเราะ
"The father is addicted to pork, and the son is addicted to grass."	"... พ่อติดหมู ลูกติดเนื้อ"
Otto laughed out at his involuntary choice of words.	อ๊อดโต้ หัวเราะ ลั่น กับ คำพูดของ ตัว เองที่ออกมาอย่าง ไม่ ตั้ง ใจ
Chuanchua, too, shook with laughter as he stirred the liquor and soda in his glass with a spoon.	ชวนชั่ว หัวเราะ ตัวสั่น ขณะใช่ช้อนตัก น้ำ แข็งคน เหล้า ใน แก้ว
He said, "Maybe it's difficult for him to find grass at home".	เขาว่า "มัน อยู่บ้านคงหา เนื้อดูดยาก"
"Come now.	"โธ่ ...
Thailand and marijuana - you can get it everywhere.	ประเทศไทยกับกัญชา อยู่ที่ ไหน ก็มี
An expert like Lit'l Hip can always find some.	ยิ่งไอ้เล็กฮิป ด้วยแม่-งต้องเสาะจน ได้
When the fucker stayed here, he tried everything, even paper."	เมื่อก่อนตอนที่อยู่ที่นี่ แม่-งปริบ ลองทุกอย่าง กระดาษแม่-ง ก็แดก"
"What paper?"	"กระดาษอะไร? "
Chuanchua put the glass down after taking a sip.	ชวนชั่ววาง แก้วลงหลังจากดื่ม เข้า ไป แล้ว
"Acid, you know.	"แอสิดไง
A farang gave him some.	ฝรั่งมัน ให้มา
'Twas a piece of paper this size."	กระดาษ แผ่น เท่าเนี้ ย ..."
Otto put his thumb under the tip of his little finger to tell his friend the size of it.	อ๊อดโต้จด หัวแม่มือที่ ปลาย นิ้วก้อยบอก ขนาดของมัน
"He was spaced out all day."	"... เมาทั้งวัน "
"Have you ever tried it?"	" มึงเคยลองไหม?"
"Sure, why not?"	"ลองสิ เรื่องอะไร จะ ไม่ลอง"
He flicked the ash from his cigarette outside the shop.	เขาดีดก้น บุหรี่ออกนอกร้าน
"What's it like?"	"เป็นไงบ้าง?"
"Not bad at all.	"มันดีเหมือนกัน
It sharpens the colours.	มันเพิ่มสี
Like when you look at the tree over there-" He pointed at a tree outside the shop.	อย่างมึงมองต้นไม้เนี่ย ..." เขาชี้ ไปที่ต้น ไม้นอกร้าน
"You get a darker green than what you see now, then you feel fuckin' cold.	"...สีมันจะ เขียวเข้มกว่าที่มึง เห็น แล้วแม่-งหนาว
At the time, I tried it with Lit'l Hip.	ตอนนั้นเล่นกะไอ้เล็กนี่แหละ
We walked along the beach, but we needed to wrap ourselves in blankets.	เดินชายหาดต้องห่ม ผ้า
Think about what we must have looked like to others.	มึงคิดดูคน อื่นแม่-ง จะมองไง
Them mothers must've thought we were both crazy.	ถ้าไม่มองว่ากูสองคนบ้า
We couldn't eat anything for most of the day."	เกือบวันไม่ ได้แดกอะไรเลย"
"Why not?"	"ทำไม?"
"We entered a food shop and sat down but we didn't dare order anything.	"เข้า ไป นั่ง ในร้าน แล้ว ไม่กล้า สั่ง
We just kept laughing.	หัวเราะ ลูกเดียว
We saw the shop owner's face, and everything else for that matter, all stretched out of size, stretching and then shrinking like in a cartoon.	เห็นหน้าเจ้า ของร้าน เห็นอะไรมัน ยืด ไปหมด เดียวหด เหมือนการ์ตูน
The people there were eyeing us as well, so we had to walk out.	คนอื่นมัน ก็มองกูสองคน กูสองคนต้อง เดินออก
This way, how could we eat?"	เป็นอย่างเงี้ย จะแดกอะไร ได้ละ"
Otto laughed as he told the story.	อ๊อดโต้ เล่า ไป หัวเราะ ไป
"Find me some so I can try."	"หามาลองกันบ้างสิ"
Chuanchua was interested.	ชวนชั่วสน ใจ
"I don't know if it's available right now.	"ตอนนี้ไม่รู้ จะมีหรือ เปล่า
But I think it's nothing compared to the high you get out of toadstools.	แต่กูว่า สู้เห็ดขี้ควาย ไม่ได
There's plenty of'm this time o' year.	้หน้านี้มีเยอะ
You should try'm.	มึงน่าลอง
They're real great."	มันจริงๆ ...."
He laughed without reason.	เขา หัวเราะ ขึ้นอย่าง ไม่มีสาเหตุ
"Speaking of being stoned on toadstool makes me think of Larn."	"...พูดถึงเมาเห็ด แล้วนึก ถึงไอ้ล้าน"
"Why?"	"ทำไมวะ? "
Chuanchua asked at once.	ชวนชั่วถามทันที่
Instinct told him this must be a juicy story.	เขารู้ โดยสัญชาตญาณว่าเรื่อง นี้ ต้องน่า ฟัง
"The sonofagun likes to walk around naked when he's stoned."	"แม่-งเมาแล้ว แก้ ผ้า เดินน่ะสิ"
"In the daytime or at night?"	"กลางวันหรือกลาง คืน? "
"Heck, at night anyone can do it.	"โถ กลางคืน ใครๆ เขา ก็ทำ ได้
You don't need to be stoned.	ไม่ต้องเมาหรอก
In broad daylight he did it.	กลางวันสิ กลางวัน แสกๆ
In front of Lueang's shop, with lotsa people around."	คนเยอะๆ นี่แหละหน้าร้านไอ้เหลือง เก่า"
He lifted his glass and drank.	เขายก เหล้า ขึ้นดื่ม
"How do you eat these toadstools?	"ไอ้เห็ดนี่มันกินยังไง
Boil them?"	ต้มกินเรอะ? "
"You cook them in an egg omelette.	"ทอดกับไข่เจียว
Delicious.	อร่อย
With a dash of chilli sauce, it's out of this world, man, especially if you keep guzzling as you eat along.	จิ้มกับซ้อสศรีราชา มึงเอ๊ย อย่าบอก ใครเชียว ยิ่ง แดกกะ เหล้า ด้วยยิ่ง มัน
Actually, I don't know what gets you first, the booze or the mushrooms."	ไม่รู้ แม่-งเมาอะไร"
Otto laughed.	อ๊อดโต้ หัวเราะ
"So what happened to Larn?"	"แล้วไอ้ล้าน เป็นไงบ้าง? "
"He flipped out through and through.	"เละซิจะ เหลือเรอะ
Well, you know how he is, always afraid of not getting drunk.	ไอ้ล้านมึงก็รู้ อยู่ แล้ว นิสัยมันกลัว ไม่เมา
You must've noticed: when there's only a little liquor left, he quaffs it down as fast he can.	มึงสังเกตดูสิ ตอน เหล้า เหลือ น้อยมัน จะรีบแดก
He's afraid of not getting drunk.	มันกลัวไม่เมา
But toadstools, it takes time before they take effect.	ทีนี่แดกเห็ดแม่-งขึ้นช้านี่หว่า
The first few spoonfuls nothing happens yet, right?	แดกเข้า ไปแรก ๆ มัน ยัง ไม่ ขึ้นนี่
So the fucker starts complaining, 'I ain't high yet.	ไอ้ล้านแม่-งก็บ่น ไม่ เห็นเมา
I ain't high yet.' And he goes on wolfing it down, and before long, the toadstools begin to work."	ไม่ เห็นเมา แม่-ง ก็แดก เอาๆ พักเดียว เท่านั้น แหละ เห็ดแม่-ง ขึ้น... "
Otto laughed.	อ๊อดโต้ หัวเราะ
"He - he kept sitting there for a while, fretting and fuming.	"มัน...นั่ง อยู่สัก พัก ฮึดฮัด ฮึดฮัด
Then he said he couldn't stay there any longer, he was gonna take a dip.	มันบอกมันอยู่ ไม่ ได้ แล้ว จะ ไปอาบ น้ำกู ก็บอก
I told him, 'Sure, no need to tell me.	ไปสิ จะมาบอกอะไรกูล่ะ
You do what you have to.' I had just finished saying this when the sonofagun starts taking his clothes off in the shop.	ตัวของมึง จะ ไป ก็ ไป พูดเสร็จ แม่-ง แก้ ผ้า ในร้าน
I told him off.	กูก็ ห้ามมัน
Fuck, man, I'd never thought it'd turn out that way.	ไอ้เหี้ยไม่นึก ว่ามัน จะออกลูกนี้ นี่หว่า
But the sonofagun wouldn't listen, he just went on undressing.	แม่-งก็ ไม่ ฟัง จะ แก้ ให้ ได้
Imagine - the shop packed with people, all those farangs in there.	มึงคิดดูคน ในร้าน ก็เยอะแยะ ฝรั่งแม่-ง เต็มร้าน
That damn Samlee kept saying, 'Let it be!	ไอ้สำลีแม่-งบอก ปล่อยมัน
Let it be!	ปล่อยมัน
Let him do what he wanna do.'	มันอยากทำอะไร ให้แม่-งทำ
Everybody was staring now, but there he was taking his clothes off, not a bit embarrassed, and when he had shed all his gear, he walked out lean and mean with the whole bunch after him.	คนในร้าน ก็หัน มามอง เป็น แถว มัน ก็ แก้อย่างนั้น ไม่อาย ใคร แก้เสร็จ แม่-ง เดินโทงเทง ไป ทั้งพวง
Luckily enough, he had kept his glasses on, otherwise he'd 've been shockingly naked!" Otto laughed, and so did Chuanchua.	แต่ดีนะที่มัน ใส่แว่นสายตา ด้วย ไม่งั้นแม่-งโป๊ตายห่า " อ๊อด โต้ หัวเราะ ชวน ชั่ว หัวเราะ ด้วย
"He didn't quite make it to the sea.	"... มันเดิน ไป ไม่ ถึงทะเลหรอก
He walked from just about here to the middle of the road over there, and then he laid down on the sand and started to swim like a child.	ประมาณจากนี่ ถึงกลางถนนนั่น มันนอนกลางทรายลงว่าย น้ำ เหมือน เด็กๆ
His fucking hands sent sand flying all over as he swam breast-stroke across the dune.	มือแม่-งวักทรายเหมือนว่าย น้ำทรายฟุ้ง
All eyes were on him.	คนอื่น เขามองที่มันคนเดียว
He kept at it for hours until he grew tired and fell asleep.	แม่-งว่ายอยู่ เป็น ชั่วโมง จนมันเพลีย หลับ
Lueang then covered him with a piece of cloth.	ไอ้เหลืองมันเลย เอา ผ้า ไปคลุม ให้
I don't know if he was afraid Larn would get sick or if was afraid the farangs wouldn't come to his shop."	ไม่รู้ ว่ามันกลัวไอ้ล้าน ไม่ สบาย หรือกลัว ฝรั่ง ไม่ เข้าร้านมัน ก็ ไม่รู้ "
Chuanchua laughed until he choked on his cigarette.	ชวนชั่ว หัวเราะ จนสำลัก บุหรี่ หลังจากหายไอ แล้ว
After he stopped coughing, he told Otto,	เขาถามอ๊อด โต้ว่า
"Larn told me you don't like his wife".	"เห็นไอ้ล้านมันบอกกูว่า มึง ไม่ค่อยชอบเมียมัน? "
"That's right.	"เออ
His wife's fucking cracked, man."	เมียแม่-งเพี้ยน"
Otto laughed.	อ๊อดโต้ หัวเราะ
"When he went to stay at his wife's place, none of us wanted to have anything to do with him.	"... ตอนที่มันไป อยู่บ้านเมียมันนะ พวก เรา ไม่มี ใคร อยาก ยุ่งกับ มัน
We hate her.	เกลียดเมียมัน
She's fucking cracked.	เมียแม่-งเพี้ยน
His mother-in-law didn't want him to hang out with us either.	แม่ยายมันก็ ไม่ อยาก ให้คบกับ พวก เรา
Whenever we went to see the sonofabitch, they always told us he wasn't home.	ไปหาทีไรแม่-งบอก ไม่ อยู่ทุกที
And Larn's fucking crazy too.	ไอ้ล้านแม่-งก็บ้า
I don't know how the hell he could stand living with 'em.	ทนอยู่ ได้ไง ไม่รู้
The goddamn house was like a jail."	บ้านแม่-งยังกะคุก..."
There was anger in his voice.	น้ำ เสียงของอ๊อด โต้ เหมือนมีโมโห
"The sonofabitch's crazy about his wife.	"... แม่-งหลงเมีย
Even when his dad died, he didn't want to attend the funeral!	ขนาดพ่อตาย มัน ยัง จะ ไม่ ไปงานศพเลย
We had to swear at him and drag him to the bus terminal, put him on a bus and buy him a ticket so he finally went, otherwise he'd never have gone."	พวกเราต้องด่ามัน ลากมัน ขึ้นรถทัวร์ ซื้อ ตั๋วส่งมัน ไป แม่-ง ถึง ไป งั้นมัน ไม่ ไปหรอก"
"Fuck, man, that's too much.	"ไอ้ห่า งี้เกิน ไป
Not attending your father's funeral, that's real shitty."	พ่อตายยัง ไม่ ไปนี่แย่ แล้ว"
His voice tensed up.	เสียง ชักเครียดตาม
"Is his wife so good-looking that he's under her spell like that, or what?"	"... เมียมันสวยรึวะถึงหลงอะไรกัน ขนาดนั้น
"Good-looking my ass!	"สวยเหี้ยอะไร
I wouldn't take her even if I got her on a plate.	ให้ฟรีกู ยัง ไม่ เอาเลย
Besides, she's fucking cracked.	แม่-งเพี้ยนด้วย
You know what?	มึงคิดดู แล้วกัน
When he was still here in Phuket, I went to see him once.	ตอนที่มันยัง อยู่ที่ภูเก็ตนี่ กูเคย ไปหามันที่บ้านหนนึง
Wherever I went in the house, his fucking wife kept following me with a broom in her hand and she kept sweeping after me.	กูเดิน ไปทาง ไหน เมียแม่-งถือ ไม้ กวาด เดินตาม กวาดตามหลัง
I don't know what she wanted to keep the place so clean for.	ก็ ไม่รุ้แม่-ง จะสะอาดกัน ไป ถึง ไหน
So I never went to see him again, I'd 've gone mad if I had."	กูเลยไม่ ไปหามัน อีกเลย เดี๋ยวกูบ้า"
"Where did he find her?"	"มันไป ได้มาจาก ไหน?"
Chuanchua meant his friend's wife.	ชวนชั่วหมาย ถึงเมีย เพื่อน
"In a temple."	"แม่-งได้มาจากวัด"
Otto lit a cigarette, his face now bland, deprived of the merriment of a moment ago.	อ๊อดโต้ จุด บุหรี่สุบ สีหน้า เขาเฉยเรียบ ไม่ครึกครื้น เหมือนเมื่อครู่
"What!	"เฮย
Is this true?"	จริงงะ? "
He looked Otto in the eye as if to find out whether he was joking or speaking seriously.	เขามองตาอ๊อด โต้ เหมือน จะค้น หาว่าพุด เล่นหรือ จริง
"It is.	"จริง
That evening I went with him too."	คืนนั้น กู ไปกับ มัน ด้วย"
"You mean they did it in the temple?"	"ได้กัน ในวัดเรอะ? "
Chuanchua asked with laughter in his voice.	ชวนชั่วถามกลั้ว หัวเราะ
"No - his wife was a nun."	"เปล่า... เมียมันบวชชี อยู่"
Otto looked more lively as the story flashed across his mind.	สีหน้าของอ๊อดโต้เริ่มดี ขึ้น เมื่อ เขานึก ถึงเรื่อง นี้ ขึ้นมา
"What's the story?	"เรื่องมัน เป็นไงวะ
Come on, tell me about it."	ไหน เล่า ให้ ฟังซิ"
Otto lifted his glass, drank, put the glass down and puffed on his cigarette.	อ๊อดโต้ยก เหล้า ขึ้นดื่ม วาง แก้วลง แล้วดูด บุหรี่ตาม
Smoke came out of his nostrils as he started telling the story.	เขา เล่า ใน ขณะที่ ควัน บุหรี่ ยังระบายออกจากรู จมูก ไม่หมด
"At first, the woman was broken-hearted and tried to kill herself.	"ตอนแรกผู้ หญิงคนนี้ เขาอก หัก จะ ฆ่า ตัวตาย
She swallowed some fucking pills but she didn't die, so she became a nun.	แม่-งแดกยาแล้ว ไม่ตาย ก็เลย ไปบวชชี
Well, she happened to be a friend of Samlee's girlfriend.	ทีนี้ผู้ หญิงคนนี้ เขา เป็น เพื่อนกับ แฟนไอ้สำลี
At the time, Samlee and Larn were always together, as they were running a T-shirt printing shop together.	ช่วงนั้นไอ้สำลีกับ ไอ้ล้านนี่ ไป ไหน ด้วยกัน อยู่เรื่อย ช่วงที่ทำร้าน พิมพ์ เสื้อ ยืด ด้วยกัน
One day, Samlee was invited by his girlfriend to visit a friend of hers who was a nun in a monastery.	วันนึง แฟนไอ้สำลี ก็ชวนไอ้สำลี ไปเยี่ยม เพื่อน เขาที่บวชชี อยู่ที่วัด
Samlee asked Larn to go along as well.	ไอ้สำลีก็ชวนไอ้ล้าน ไป เป็น เพื่อน
They were both drunk, of course.	ก็เมากัน ไปนั่นแหละ
Well, when Larn was told all about her, he felt for the woman.	ทีนี้พอไอ้ล้านมันรู้ เรื่อง เข้า ก็เกิด สงสาร ผู้ หญิงคนนี้
You know as well as I do that the sonofabitch had never had a girlfriend, what with being drunk day in, day out.	ไอ้ล้านมึงก็รู้ อยู่ แล้วนี่หว่าแม่-งเคยมีแฟนที่ ไหน วัน ๆ เมาลูกเดียว
As soon as he saw her, he fell in love with her.	พอไป เห็น เข้า ก็เกิด ชอบ ขึ้นมาน่ะสิ
The woman was broken-hearted, so he felt for her all the more, meaning to heal her wound and all that-" Otto laughed.	ยิ่งผู้ หญิง เขาอก หัก ด้วย ยิ่ง สงสาร เข้า ไป ใหญ่ กะ ไป รักษาแผล หัว ใจไง..." อ๊อด โต้ หัวเราะ
Chuanchua smiled as he sipped his drink, his eyes still on Otto's face.	ชวนชั่วยิ้ม พลางจิบ เหล้า สายตา ยัง อยู่ที่ ใบหน้าอ๊อด โต้
"Later on, he came to ask me to go with him, but I refused.	"...ตอนหลังแม่-งก็มาชวนกู ไป กู ก็ ไม่ ไป
