The Wonderful Wizard of Oz	พ่อมดมหัศจรรย์แห่งออซ
Then, before he could pull it out again--or let go--the raft was swept away, and the poor Scarecrow left clinging to the pole in the middle of the river.	และก่อนที่มัน จะดึงออกมา ได้หรือปล่อยมือ ไป แพ ก็ ถูกพัด ไป เสีย แล้ว เจ้า หุ่น ไล่กาที่น่าสงสาร ถูกปล่อยติด อยู่กับ เสากลางแม่ น้ำ
"Good-bye!" he called after them, and they were very sorry to leave him.	``ลาก่อน''มันส่งเสียงตามพวก เขา ไป และพวก เขาต่าง เสีย ใจยิ่ง ที่ต้องปล่อยมัน
Indeed, the Tin Woodman began to cry, but fortunately remembered that he might rust, and so dried his tears on Dorothy's apron.	จริงซิ ชายตัด ไม้ดีบุกเริ่มร้องไห้ แต่โชคดีที่จำ ได้ว่าตน จะ ขึ้นสนิมจึงเช็ด น้ำตากับ ผ้ากันเปื้อนของโดโรธี
Of course this was a bad thing for the Scarecrow.	แน่นอน...นี่ เป็น สิ่งเลวร้ายต่อหุ่น ไล่กา
"I am now worse off than when I first met Dorothy," he thought.	``ตอนนี้ฉันแย่ยิ่ง กว่าเมื่อพบโดโรธี ครั้ง แรก อีก ยังไง ก็ตาม มัน คิด
"Then, I was stuck on a pole in a cornfield, where I could make-believe scare the crows, at any rate.	``ตอนนั้นฉัน ก็ ถูกแขวน ไว้กับ เสาที่ ไร่ข้าวโพด ฉันแสร้งทำ เป็น ไล่กา ได้
But surely there is no use for a Scarecrow stuck on a pole in the middle of a river.	แต่หุ่น ไล่กา ไม่มี ประโยชน์อะไรเลย จริงๆที่ จะมาแขวน ไว้กับ เสากลางแม่ น้ำ
I am afraid I shall never have any brains, after all!"	ฉันเกรงว่าผล สุดท้ายฉัน จะ ไม่ ได้มันสมองตามเคย!
Down the stream the raft floated, and the poor Scarecrow was left far behind.	แพลอยไปตามสาย น้ำ และหุ่น ไล่กาที่น่าสงสาร ก็ ถูก ทิ้ง ไว้เบื้อง หลัง
Then the Lion said: "Something must be done to save us.	`` สิงโตพูดขึ้นว่า ต้องทำอะไรสักอย่าง ช่วยพวก เรา
I think I can swim to the shore and pull the raft after me, if you will only hold fast to the tip of my tail."	ฉันคิดว่าฉัน จะว่าย ไป ขึ้น ฝั่ง และดึงแพ ไป ด้วย ถ้า เธอ จะ ยึดหางฉัน ไว้ ให้ แน่น เท่านั้น ''
So he sprang into the water, and the Tin Woodman caught fast hold of his tail.	ดังนั้น มันจึง กระโดดลง ไป ใน น้ำ ชายตัด ไม้ดีบุกจับ หางมัน ไว้ แน่น
Then the Lion began to swim with all his might toward the shore.	เมื่อสิงโตเริ่มว่ายเข้าหา ฝั่งอย่าง สุด แรง
It was hard work, although he was so big; but by and by they were drawn out of the current, and then Dorothy took the Tin Woodman's long pole and helped push the raft to the land.	แม้ว่า ตัวมัน จะ ใหญ่ แต่ ก็ ยัง เป็นงานที่ยาก เย็น พวก เขาค่อยๆ ถูกลากออกจากกระแส น้ำ ครั้น แล้วโดโรธี ก็ เอาถ่อ อันยาวของชายตัด ไม้ดีบุก ช่วยถ่อแพ เข้า สู่ แผ่นดิน
They were all tired out when they reached the shore at last and stepped off upon the pretty green grass, and they also knew that the stream had carried them a long way past the road of yellow brick that led to the Emerald City.	เมื่อถึง ฝั่ง ในที่ สุดต่าง ก็เหนื่อยอ่อน และก้าวลงบน พื้น หญ้า อัน เขียวขจี และรู้ ด้วยว่ากระแส น้ำ ได้พัด พามา เสีย ไกลจากถนนอิฐสี เหลืองที่ มุ่ง ไป สู่เมือง มรกต
"What shall we do now?" asked the Tin Woodman, as the Lion lay down on the grass to let the sun dry him.	``ทีนี้เรา จะทำอย่างไรกันดี''ชายตัด ไม้ดีบุกถาม ขึ้น ขณะที่สิงโตนอนราบกับ พื้น หญ้า ให้ แดดเลีย ตัว ให้ แห้ง
"We must get back to the road, in some way," said Dorothy.	``ถึงอย่างไรเราต้อง กลับ ไปที่ถนน ให้ ได้''โดโรธีพูด
"The best plan will be to walk along the riverbank until we come to the road again," remarked the Lion.	``วิธีดีที่สุดคือ เดิน ไปตามชาย ฝั่งแม่ น้ำจน ถึงถนน อีกนั่นแหละ''สิงโตว่า
So, when they were rested, Dorothy picked up her basket and they started along the grassy bank, to the road from which the river had carried them.	ดังนั้น เมื่อ พักเหนื่อย แล้วโดโรธี ก็คว้าตะกร้า แล้วพวก เขา ก็ออก เดินตามริม ฝั่ง น้ำที่ เต็ม ไป ด้วย หญ้า กลับ ไปที่ถนนตรงที่แม่ น้ำ ได้พัด พามา
It was a lovely country, with plenty of flowers and fruit trees and sunshine to cheer them, and had they not felt so sorry for the poor Scarecrow, they could have been very happy.	ภูมิประเทศนั้น งดงาม เต็ม ไป ด้วย ไม้ดอก ไม้ผล แดดส่องแสง ยัง ให้ร่าเริง และถ้า มิ ได้ เสีย ใจอย่างหนัก กับ หุ่น ไล่กาที่น่าสงสารพวก เขาคง จะมี ความ สุขยิ่ง
They walked along as fast as they could, Dorothy only stopping once to pick a beautiful flower; and after a time the Tin Woodman cried out: "Look!"	พวกเขา เดินอย่าง เร็วที่ สุด โดโรธี หยุด เพียง ครั้ง เดียวเพื่อ เก็บดอก ไม้สวย และ ชั่ว เวลาต่อมาชายตัด ไม้ดีบุก ก็ร้อง ขึ้นว่า ``ดูนั่น!''
Then they all looked at the river and saw the Scarecrow perched upon his pole in the middle of the water, looking very lonely and sad.	และ แล้วต่าง ก็มอง ไปที่แม่ น้ำ เห็นหุ่น ไล่กาแขวนเติ่ง อยู่บนเสากลาง น้ำ ดู เปล่าเปลี่ยว และเศร้าหมองยิ่ง นัก
"What can we do to save him?" asked Dorothy.	``เราจะ ช่วย เขา ได้อย่างไรดี''
The Lion and the Woodman both shook their heads, for they did not know.	สิงโตและชายตัด ไม้ต่างสั่น หัวเพราะ ไม่รู้ จะทำอย่างไร
So they sat down upon the bank and gazed wistfully at the Scarecrow until a Stork flew by, who, upon seeing them, stopped to rest at the water's edge.	ดังนั้น จึง นั่งลงข้าง ฝั่งจ้องดูหุ่น ไล่กาอย่างท้อแท้ จนกระทั่งนกกระยาง ตัวหนึ่ง บินผ่านมา เมื่อมอง เห็น เข้ามัน ก็ หยุดลงมาตรงชาย น้ำ
"Who are you and where are you going?" asked the Stork.	``พวกเธอ เป็น ใคร พวก เธอ จะ ไป ไหน''นกกระยางถาม
"I am Dorothy," answered the girl, "and these are my friends, the Tin Woodman and the Cowardly Lion; and we are going to the Emerald City."	``ฉันคือโดโรธี''เด็ก หญิงตอบ ``นี่คือ เพื่อนของฉัน ชายตัด ไม้ดีบุก กับ สิงโตขี้ขลาด เรากำลัง จะ ไปเมือง มรกตกัน''
"This isn't the road," said the Stork, as she twisted her long neck and looked sharply at the queer party.	``นี่ไม่ใช่ถนนนี่นา...''นกกระยางพูด มันบิดคอ อันยาวจ้องดู คณะ อันแปลกประหลาดอย่างเขม็ง
"I know it," returned Dorothy, "but we have lost the Scarecrow, and are wondering how we shall get him again."	``ฉันรู้แล้วละ...''โดโรธีตอบ `` แต่เราพลัดจากหุ่น ไล่กา และกำลัง คิดว่า จะ เอา เขา กลับมา ได้อย่างไร''
"Where is he?" asked the Stork.	``อยู่ที่ ไหนล่ะ''นกกระยางถาม
"Over there in the river," answered the little girl.	``โน่นแน่ะ...ที่แม่ น้ำ'' เด็ก หญิงตอบ
"If he wasn't so big and heavy I would get him for you," remarked the Stork.	``ถ้าตัว ไม่โต ไม่หนัก นัก ฉัน จะ ไป เอามา ให้''นกกระยางว่า
"He isn't heavy a bit," said Dorothy eagerly, "for he is stuffed with straw; and if you will bring him back to us, we shall thank you ever and ever so much."	``เขา ตัว ไม่หนัก แม้ แต่นิดเดียว...''โดโรธีพูดอย่างกระตือรือร้น `` เขายัด ด้วยฟาง ถ้า เธอนำ เขามา ให้เรา ได้เรา จะขอบคุณ เธอมากๆทีเดียว''
"Well, I'll try," said the Stork, "but if I find he is too heavy to carry I shall have to drop him in the river again."	``เอาละ ฉัน จะลองดู''นกกระยางพูด `` แต่ถ้า ฉัน เห็นว่าหนัก เกิน กำลังฉันคงต้องปล่อย เขา ทิ้ง ไว้กลางแม่ น้ำตามเดิม นะ''
So the big bird flew into the air and over the water till she came to where the Scarecrow was perched upon his pole.	ดังนั้น เจ้า นก ใหญ่ ก็บิน ขึ้น ไป ใน อากาศ เหนือ น้ำจน ถึงที่หุ่น ไล่กา เกาะ อยู่กับ เสา
Then the Stork with her great claws grabbed the Scarecrow by the arm and carried him up into the air and back to the bank, where Dorothy and the Lion and the Tin Woodman and Toto were sitting.	นกกระยางคว้าแขนหุ่นไล่กา ด้วยกรง เล็บ อัน ใหญ่ของมัน และพา ขึ้น สู่ อากาศ กลับมา ยัง ฝั่งตรงที่โดโรธี สิงโต และชายตัด ไม้ดีบุกกับ โต โต้ นั่ง อยู่
When the Scarecrow found himself among his friends again, he was so happy that he hugged them all, even the Lion and Toto; and as they walked along he sang "Tol-de-ri-de-oh!" at every step, he felt so gay.	เมื่อหุ่นไล่กาพบตน เอง อยู่ท่ามกลางมิตรสหาย อีก ครั้ง ความดี ใจทำ ให้มัน เข้า ไปกอดหมดทุกคน แม้ แต่สิงโต และโต โต้ และเมื่อพากัน เดินต่อ ไปมัน ก็ร้องเพลงทุก ฝีก้าวว่า ``โทล-เดริ-เด-โอ!''มันร่าเริงยิ่ง นัก
"I was afraid I should have to stay in the river forever," he said, "but the kind Stork saved me, and if I ever get any brains I shall find the Stork again and do her some kindness in return."	``ฉันกลัวว่าจะต้อง อยู่ ในแม่ น้ำ ตลอด ไป เสีย แล้ว''มันพูด `` แต่นกกระยาง ใจดี ช่วยฉัน ถ้า ฉันมี โอกาส ได้มันสมองละ ก็ฉัน จะมาตามหานกกระยาง ให้ ได้ อีก ครั้ง และทำดีสักอย่างตอบ แทน''
"That's all right," said the Stork, who was flying along beside them.	``ไม่ เป็นไรหรอก''นกกระยาง ซึ่งบินตาม ไปข้างๆพูด ขึ้น
"I always like to help anyone in trouble.	``ฉันชอบช่วยคนตกยาก เสมอ
But I must go now, for my babies are waiting in the nest for me.	แต่ตอนนี้ ฉันต้อง ไปละ ลูกๆรอฉัน อยู่ที่รัง
I hope you will find the Emerald City and that Oz will help you."	ฉันหวังว่าเธอคงหาเมืองมรกตพบ และออซ ผู้ยิ่ง ใหญ่คง ช่วยพวก เธอ ได้...''
"Thank you," replied Dorothy, and then the kind Stork flew into the air and was soon out of sight.	``ขอบใจ''โดโรธีตอบ แล้วนกกระยางอารี ก็โผ ขึ้น สู่ อากาศ และหาย ไปจากสายตา ใน ไม่ช้า
They walked along listening to the singing of the brightly colored birds and looking at the lovely flowers which now became so thick that the ground was carpeted with them.	พวกเขา เดินกัน ไปพลาง ฟัง เสียงเพลงจากนกสีสดใส และจ้องดูดอก ไม้สวยที่หนาตา ขึ้นจน พื้นดิน ถูกปู เป็นพรม อยู่
There were big yellow and white and blue and purple blossoms, besides great clusters of scarlet poppies, which were so brilliant in color they almost dazzled Dorothy's eyes.	มีดอกบานใหญ่สี เหลือง ขาว น้ำ เงิน และม่วง ข้างๆมีดงดอกปอปปี ใหญ่สีแดง ฉาน สีของมันจ้า เสียจนโดโรธีตาเกือบพร่า
"Aren't they beautiful?" the girl asked, as she breathed in the spicy scent of the bright flowers.	``สวยจริง ไหม?'' เด็ก หญิงถาม พร้อมกับ สูด กลิ่นจัด ของดอก ไม้ เข้า ไป
"I suppose so," answered the Scarecrow. "When I have brains, I shall probably like them better."	``ฉันก็ว่าอย่างนั้น แหละ''หุ่น ไล่กาตอบ ``เมื่อฉันมีมันสมองฉันคง จะชอบมันมาก ขึ้น''
"If I only had a heart, I should love them," added the Tin Woodman.	``ถ้าเพียงฉันมี หัว ใจฉันคง จะรักมัน''ชายตัด ไม้ดีบุกเสริมต่อ
"I always did like flowers," said the Lion.	``ฉันชอบดอกไม้ อยู่ เสมอ''สิงโตพูด
"They of seem so helpless and frail.	``มันดูแลตัว เอง ไม่ ได้ แล้ว ก็บอบบาง เหลือ เกิน
But there are none in the forest so bright as these."	แต่ ในป่า ไม่มีที่สวยสดอย่างนี้ เลย''
They now came upon more and more of the big scarlet poppies, and fewer and fewer of the other flowers; and soon they found themselves in the midst of a great meadow of poppies.	ตอนนี้พวก เขามา ถึงที่ที่มีดอกปอปปี้ดอก ใหญ่มาก ขึ้นเรื่อยๆ และดอก ไม้ อื่น น้อยลง และ ในที่ สุด ก็พบว่าตน อยู่ท่ามกลาง ทุ่ง ใหญ่ แห่งดอกปอปปี
Now it is well known that when there are many of these flowers together their odor is so powerful that anyone who breathes it falls asleep, and if the sleeper is not carried away from the scent of the flowers, he sleeps on and on forever.	ปัจจุบัน เป็นที่ทราบกันดีว่าที่ ใดที่มีดอก ไม้ชนิดนี้ รวมกันมากๆ กลิ่นของมัน แรงจัด จน ใคร ก็ตามที่สูด เข้า ไป จะ หลับผล็อย และคน หลับนั้น ถ้า ไม่ ถูกหามออก ไป ไกลจาก กลิ่นดอก ไม้ ก็ จะนอน หลับ ไป ตลอดกาลนาน
But Dorothy did not know this, nor could she get away from the bright red flowers that were everywhere about; so presently her eyes grew heavy and she felt she must sit down to rest and to sleep.	แต่โดโรธี ไม่รู้ เรื่อง นี้ และเธอ ก็ออก ไปพ้นจากดอก ไม้สีแดง สดที่ อยู่ โดยรอบหา ได้ ไม่ ดัง นั้น ใน ไม่ช้าดวงตาของเธอ ก็หรี่ลงๆ เธอรู้ สึกว่า จะต้อง นั่งลง พัก และนอน หลับ
But the Tin Woodman would not let her do this.	แต่ชายตัด ไม้ดีบุก ไม่ยอม ให้เธอทำ เช่นนั้น
"We must hurry and get back to the road of yellow brick before dark," he said; and the Scarecrow agreed with him.	``เราต้องรีบไป ต้อง กลับ สู่ถนนอิฐสี เหลืองก่อนพลบ ค่ำ'' เขาพูด ขึ้น และหุ่น ไล่กา ก็ เห็น ด้วย
So they kept walking until Dorothy could stand no longer.	ดังนั้น ชายตัด ไม้ดีบุกจึงพาโดโรธี เดิน ไปจนกระทั่งเธอ ยืนทรง ตัว ไม่ อยู่
Her eyes closed in spite of herself and she forgot where she was and fell among the poppies, fast asleep.	ดวงตาของเธอปิดลงแม้ จะ ไม่ อยากทำ ก็ตาม และเธอ ก็ ลืม สิ้นว่า อยู่ณที่ ใด เธอล้มลงท่ามกลางดอกปอปปี และ หลับสนิท ไป
"What shall we do?" asked the Tin Woodman.	``เราจะทำอย่างไรกันดี''ชายตัด ไม้ดีบุกถาม
"If we leave her here she will die," said the Lion.	``ถ้าเราปล่อย ไว้เธอ จะตาย แน่''สิงโตพูด ขึ้น ``
"The smell of the flowers is killing us all.	กลิ่นดอก ไม้ จะ ฆ่าพวก เรา ทั้งหมด ด้วย
I myself can scarcely keep my eyes open, and the dog is asleep already."	ฉันเอง ก็แทบ ลืมตา ไม่ ขึ้น แล้ว เจ้า หมานั่น ก็ หลับ ไปซะ แล้ว''
It was true; Toto had fallen down beside his little mistress.	จริงซิ...โต โต้ ก็ หลับลงข้างๆนาย น้อยของมัน
But the Scarecrow and the Tin Woodman, not being made of flesh, were not troubled by the scent of the flowers.	แต่หุ่น ไล่กากับ ชายตัด ไม้ดีบุกที่ ไม่ ได้ สร้าง ขึ้น ด้วย เนื้อ หนังต่าง ไม่ ถูกรบกวน ด้วย กลิ่นดอก ไม้ แต่อย่าง ใด
"Run fast," said the Scarecrow to the Lion, "and get out of this deadly flower bed as soon as you can.	``วิ่ง เร็วๆ''หุ่น ไล่กาพูดกับ สิงโต ``ออก ไป ให้พ้นดงดอก ไม้มหาภัย นี้ ให้ เร็วที่ สุดที่ จะ เร็ว ได้
We will bring the little girl with us, but if you should fall asleep you are too big to be carried."	เราจะ เอา เด็ก หญิง น้อย ไปกับ เรา แต่ถ้า เธอ หลับเธอ ก็ ตัว ใหญ่ เกิน กว่า จะหาม ได้''
So the Lion aroused himself and bounded forward as fast as he could go.	ดังนั้น สิงโตจึงกระตุ้นตน เอง และกระโจน ไปข้างหน้าอย่าง เร็ว สุด ความสามารถ
In a moment he was out of sight.	ชั่ว ขณะเดียว เท่านั้น มัน ก็ลับ ไปจากสายตา
"Let us make a chair with our hands and carry her," said the Scarecrow.	``เราเอาแขนทำ เป็นเก้าอี้ แล้วอุ้มเธอ ไปกัน เถอะ''หุ่น ไล่กาพูด
So they picked up Toto and put the dog in Dorothy's lap, and then they made a chair with their hands for the seat and their arms for the arms and carried the sleeping girl between them through the flowers.	พวกเขาคว้าโต โต้ และ เอามันวาง ไว้ที่ตักโดโรธี ใช้มือทำเก้าอี้ เป็นที่ นั่ง เอาแขน เป็นที่พาดแขน และอุ้ม เด็กที่ หลับใหล อยู่นั้น ฝ่าดงดอก ไม้ออก ไป
On and on they walked, and it seemed that the great carpet of deadly flowers that surrounded them would never end.	พวกเขา เดิน แล้ว เดิน อีก ดู เหมือนว่าพรมดอก ไม้มหาภัย ผืน ใหญ่ที่ อยู่รอบๆนั้น ไม่มี จะ สิ้น สุด
They followed the bend of the river, and at last came upon their friend the Lion, lying fast asleep among the poppies.	มันโค้งไปตามแม่ น้ำ และ ในที่ สุด ก็มาพบสหายสิงโตนอน หลับสนิท อยู่ท่ามกลางดอกปอปปี
The flowers had been too strong for the huge beast and he had given up at last, and fallen only a short distance from the end of the poppy bed, where the sweet grass spread in beautiful green fields before them.	ดอกไม้ กลิ่น แรง เกิน เจ้า สัตว์ ใหญ่ จะทนทานจนต้องยอมแพ้ ในที่ สุด มันล้มลงตรงทาง ที่ อีกนิดเดียว ก็ จะพ้นดงดอกปอปปี ตรงนี้ มี หญ้าน่ารัก ขึ้นแผ่ขยาย เป็น ทุ่ง เขียวขจีงดงาม อยู่เบื้อง หน้า
"We can do nothing for him," said the Tin Woodman, sadly; "for he is much too heavy to lift.	``เราจะทำอะไร ช่วยมัน ไม่ ได้หรอก''ชายตัด ไม้ดีบุกพูด ขึ้นอย่างเศร้าสร้อย ``มันหนัก เกิน หาม
We must leave him here to sleep on forever, and perhaps he will dream that he has found courage at last."	เราต้องปล่อยมันไว้ที่นี่ ให้นอน หลับ ตลอด ไป และบางทีมันอาจ ฝันว่า ได้พบ ความกล้าหาญ ในที่ สุด แล้ว ก็ ได้''
"I'm sorry," said the Scarecrow.	``ฉันเสีย ใจ''หุ่น ไล่กาพูด
"The Lion was a very good comrade for one so cowardly.	``สำหรับผู้ที่ขี้ขลาด ตัวหนัก เช่นนี้ สิงโตช่าง เป็นสหายที่ดี เหลือ เกิน
But let us go on."	แต่เรา ก็ต้อง ไปต่อกัน เถอะ''
They carried the sleeping girl to a pretty spot beside the river, far enough from the poppy field to prevent her breathing any more of the poison of the flowers, and here they laid her gently on the soft grass and waited for the fresh breeze to waken her.	มันพากันอุ้มเด็ก หญิงที่ หลับ อยู่ ไปจน ถึงบริเวณที่งดงามข้างริม น้ำ ไกลจาก ทุ่งปอปปีพอที่ จะกันเธอมิ ให้สูดพิษของดอก ไม้ เข้า ไป อีก ที่นั่นมันวางเธอลงบน หญ้านุ่มอย่างแผ่ว เบา และคอย ให้สายลมสด ชื่นปลุกเธอ ขึ้นมา
Chapter 9. The Queen of the Field Mice	บทที่ 9 ราชินีหนูนา
"We cannot be far from the road of yellow brick, now," remarked the Scarecrow, as he stood beside the girl, "for we have come nearly as far as the river carried us away."	ตอนนี้เราคง ไม่ ไกลจากถนนอิฐสี เหลือง เท่าไร''หุ่น ไล่กาพูด ขึ้น พร้อมกับ ยืน อยู่ข้างๆ เด็ก หญิง ``นี่เรา ได้มา ไกลพอๆกับ ที่แม่ น้ำพัด เรามา แล้ว''
The Tin Woodman was about to reply when he heard a low growl, and turning his head (which worked beautifully on hinges) he saw a strange beast come bounding over the grass toward them.	ชายตัดไม้ดีบุกทำท่า จะตอบ ก็พอดี ได้ยิน เสียง คำราม เบาๆจึงหัน ศีรษะ ซึ่ง หมุน ได้คล่อง ไปดู ก็ เห็นสัตว์ ประหลาด ตัวหนึ่ง วิ่ง กระโดดบน หญ้าตรงมาหามัน
It was, indeed, a great yellow Wildcat, and the Woodman thought it must be chasing something, for its ears were lying close to its head and its mouth was wide open, showing two rows of ugly teeth, while its red eyes glowed like balls of fire.	จริงซิ...แมวป่า ตัว ใหญ่สี เหลืองนั่น เอง ชายตัด ไม้ ก็ คิดว่ามันคง ไล่อะไรสักอย่างเพราะหูมันลู่แนบกับ หัว และปาก ก็เปิด กว้างเผย ให้ เห็น ฟันสอง แถวน่าเกลียด ตาของมันสีแดง ส่องแสงราวลูก ไฟ
As it came nearer the Tin Woodman saw that running before the beast was a little gray field mouse, and although he had no heart he knew it was wrong for the Wildcat to try to kill such a pretty, harmless creature.	เมื่อเข้ามา ใกล้ ชายตัด ไม้ดีบุก ก็ เห็นหนูนาสีเทา ตัวเล็กๆ ตัวหนึ่ง วิ่ง อยู่ข้างหน้าเจ้า สัตว์ นั้น แม้มัน จะ ไม่มี หัว ใจชายตัด ไม้ดีบุก ก็รู้ ว่าการที่แมวป่าพยายาม จะ ฆ่าสัตว์ ที่น่ารัก ไม่มี อันตราย ตัวนี้ เป็น สิ่ง ผิด
So the Woodman raised his axe, and as the Wildcat ran by he gave it a quick blow that cut the beast's head clean off from its body, and it rolled over at his feet in two pieces.	ดังนั้น ชายตัด ไม้จึงยกขวาน ขึ้น และเมื่อแมวป่า วิ่ง เข้ามา ใกล้ เขา ก็ ฟันฉับทันที ตัด หัวเจ้า สัตว์ นั้น ขาดสะบั้นออกจาก ตัวแยกออก เป็นสองชิ้นกลิ้ง อยู่ที่ เท้าของมัน
The field mouse, now that it was freed from its enemy, stopped short; and coming slowly up to the Woodman it said, in a squeaky little voice: "Oh, thank you! Thank you ever so much for saving my life."	หนูนาซึ่งตอนนี้ ปลอดจากศัตรู แล้ว หยุดกึกลง และ เดิน เข้ามาหาชายตัด ไม้อย่างช้าๆ มันพูด ด้วย เสียงแหลมเล็กว่า ``โอ้ ขอบ ใจ!ขอบ ใจมากที่ ช่วยชีวิตฉัน ไว้''
"Don't speak of it, I beg of you," replied the Woodman.	``ฉันขอเถิดไม่ต้องพูด ถึงหรอก''ชายตัด ไม้ตอบ
"I have no heart, you know, so I am careful to help all those who may need a friend, even if it happens to be only a mouse."	``ฉันไม่มี หัว ใจรู้ ไหม ฉะนั้น ฉันจึงระวังที่ จะ ช่วย ผู้ที่ต้องการ เพื่อน แม้มัน จะบังเอิญ เป็น แค่หนูนา เท่านั้น ก็ตาม''
"Only a mouse!" cried the little animal, indignantly.	``แค่หนู เท่านั้น !''เจ้า สัตว์ น้อยร้องอย่างเคืองๆ
"Why, I am a Queen--the Queen of all the Field Mice!"	``นี่แนะ...ฉันน่ะเป็นราชินี ราชินี แห่งหนูนา ทั้งมวล!''
"Oh, indeed," said the Woodman, making a bow.	``โอ้!จริงรึ''ชายตัด ไม้พูดทำท่าโค้ง
"Therefore you have done a great deed, as well as a brave one, in saving my life," added the Queen.	``ดังนั้น เธอ ได้ทำกรณียกิจ ที่ยิ่ง ใหญ่พอๆกับ ความกล้าหาญที่ ได้ ช่วยชีวิตฉัน ไว้''ราชินีเสริม
At that moment several mice were seen running up as fast as their little legs could carry them, and when they saw their Queen they exclaimed:	ใน ขณะนั้น เองหนูจำนวน ไม่ น้อย ก็ปรากฏ ตัว วิ่ง เข้ามาอย่างรวด เร็ว เท่าที่ เท้าเล็กๆ จะพามันมา ได้ และเมื่อ เห็นราชินีของมัน ก็อุทาน ขึ้นว่า
"Oh, your Majesty, we thought you would be killed!	``โอ้!...ใต้ ฝ่าพระบาท เรา คิดว่าพระ องค์ สิ้นพระชนม์ เสีย แล้ว!
How did you manage to escape the great Wildcat?"	พระองค์หนีเจ้า แมวป่า ตัว ใหญ่มา ได้อย่างไร''
They all bowed so low to the little Queen that they almost stood upon their heads.	แล้วพวก นั้น ก็โค้ง ให้ราชินี เสีย ต่ำ สุดราวกับ มัน ยืน อยู่ ด้วย หัว
"This funny tin man," she answered, "killed the Wildcat and saved my life.	``ชายดีบุกประหลาดผู้นี้ ...''เธอตอบ `` ฆ่าเจ้า แมวป่า และ ช่วยชีวิตฉัน ไว้
So hereafter you must all serve him, and obey his slightest wish."	ดังนั้น จากนี้ ต่อ ไปพวก เธอ ทั้งหลาย จะต้องรับ ใช้ เขา และ เชื่อ ฟัง ความประสงค์ แม้ แต่ น้อยนิด ใดๆของ เขา''
"We will!" cried all the mice, in a shrill chorus.	``เราจะปฏิบัติตาม...''หนู ทั้งหมดร้อง ขึ้น พร้อมกัน ด้วย เสียง อันแหลม
And then they scampered in all directions, for Toto had awakened from his sleep, and seeing all these mice around him he gave one bark of delight and jumped right into the middle of the group.	และ แล้วมัน ก็ แตกกระจาย ไป ทั่วทุกทิศเพราะโต โต้ ตื่นจาก หลับ ขึ้นมาแล เห็นหนู เหล่านั้น อยู่รอบตน มันส่ง เสียงเห่า ด้วย ความยิน ดี แล้ว กระโดดลง ไปกลาง กลุ่มหนู เหล่านั้น
Toto had always loved to chase mice when he lived in Kansas, and he saw no harm in it.	เมื่อสมัยอยู่แคนซัสโต โต้ชอบนักที่ จะ ไล่หนู เล่น และมัน ก็ ไม่ เห็นมี อันตราย ใดๆ
But the Tin Woodman caught the dog in his arms and held him tight, while he called to the mice, "Come back! Come back! Toto shall not hurt you."	แต่ชายตัด ไม้ดีบุกคว้าเจ้า หมานั้น ขึ้น ไว้ ในอ้อมแขน กอด ไว้ แน่นพลางส่ง เสียงเรียกบรรดาหนู ทั้งหลาย `` กลับมา เถอะ กลับมา เถอะ โต โต้ ไม่ทำร้ายหรอก''
At this the Queen of the Mice stuck her head out from underneath a clump of grass and asked, in a timid voice, "Are you sure he will not bite us?"	ถึงตรงนี้ ราชินี แห่งหนู ก็โผล่ หัวออกมาจากกอ หญ้า และถาม ด้วย เสียงขลาดๆว่า ``เธอ แน่ ใจหรือว่ามัน ไม่กัดเรา''
"I will not let him," said the Woodman; "so do not be afraid."	``ฉันไม่ปล่อยมันหรอก''ชายตัด ไม้พูด ``ดัง นั้น อย่ากลัว ไปเลย''
One by one the mice came creeping back, and Toto did not bark again, although he tried to get out of the Woodman's arms, and would have bitten him had he not known very well he was made of tin.	บรรดาหนูคลานกลับมาทีละ ตัวๆ โต โต้ ก็ ไม่เห่ามัน อีก แม้ จะพยายามดิ้นรนออกจากอ้อมแขนชายตัด ไม้ และเกือบ จะกัด เขา เข้า ให้ถ้า มิ ได้รู้ มาก่อนว่า เขา สร้าง ด้วยดีบุก
Finally one of the biggest mice spoke.	ในที่ สุดหนู ใหญ่ที่ สุด ตัวหนึ่ง ก็พูด ขึ้นว่า
"Is there anything we can do," it asked, "to repay you for saving the life of our Queen?"	``มีอะไรที่เราจะทำ ได้ ไหม''มันถาม ``เพื่อตอบ แทนพวก เธอที่ ช่วยชีวิตราชินีของเรา
"Nothing that I know of," answered the Woodman; but the Scarecrow, who had been trying to think, but could not because his head was stuffed with straw, said, quickly, "Oh, yes; you can save our friend, the Cowardly Lion, who is asleep in the poppy bed."	``ฉันไม่รู้ ซิ...''ชายตัด ไม้ตอบ แต่หุ่น ไล่กา ซึ่งเฝ้าพยายาม คิด อยู่ แต่ คิด ไม่ออกเพราะ หัวของมันยัด ด้วยฟางนั้น กลับพูด ขึ้นอย่างรวด เร็ว ``โอ!...ใช่ แล้ว เธอ จะ ช่วยชีวิต เพื่อนเรา เธอ จะ ช่วยสิงโตขี้ขลาดที่นอน หลับ อยู่ ในดงดอกปอปปี ได้''
"A Lion!" cried the little Queen.	``สิงโต!''ราชินีน้อยร้อง ``
"Why, he would eat us all up."	ทำไมล่ะ มันจะกิน พวก เราหมดนะ''
"Oh, no," declared the Scarecrow; "this Lion is a coward."	``โอ้!...ไม่หรอก''หุ่น ไล่กา ประกาศ ``สิงโต ตัวนี้ ขี้ขลาด''
